#Code;English;French;German;Spanish;Russian;x
ohk_iberian_prayer_stone;Prayer Stone;;;;;x
ohk_iberian_prayer_stone_desc;A simple, weathered stone set upon the plains, marking a sacred space for prayer among the nomads.;;;;;x
ohk_iberian_shrine_alcove;Shrine Alcove;;;;;x
ohk_iberian_shrine_alcove_desc;A small, roofed alcove built to shelter icons and relics, encouraging communal worship on the move.;;;;;x
ohk_iberian_worship_hut;Worship Hut;;;;;x
ohk_iberian_worship_hut_desc;A makeshift tent of woven reeds and cloth, offering shelter for group prayers and spiritual gatherings.;;;;;x
ohk_iberian_blessed_hall;Blessed Hall;;;;;x
ohk_iberian_blessed_hall_desc;A sturdy wooden hall, adorned with holy symbols, serving as the heart of spiritual life for the clan.;;;;;x
ohk_iberian_saints_shelter;Saints Shelter;;;;;x
ohk_iberian_saints_shelter_desc;A mobile sanctuary honoring revered saints, its presence fostering unity and devotion within the horde.;;;;;x
ohk_iberian_sanctuary_pavilion;Sanctuary Pavilion;;;;;x
ohk_iberian_sanctuary_pavilion_desc;A grand pavilion raised on wheels, lavishly decorated, serving as a spiritual anchor and refuge for the faithful.;;;;;x
ohk_iberian_relic_room;Relic Room;;;;;x
ohk_iberian_relic_room_desc;A fortified chamber for the clans holiest relics, drawing pilgrims and strengthening the faith of the nomads.;;;;;x
ohk_iberian_chapel_house;Chapel House;;;;;x
ohk_iberian_chapel_house_desc;A permanent, stone-built chapel for worship and counsel, a rare mark of settled faith among the nomads.;;;;;x
ohk_iberian_pilgrims_hall;Pilgrims Hall;;;;;x
ohk_iberian_pilgrims_hall_desc;A magnificent hall welcoming pilgrims from across Iberia, its renown uniting the faithful clans and strengthening their bond.;;;;;x
ohk_grand_iberian_chapel;Grand Iberian Chapel;;;;;x
ohk_grand_iberian_chapel_desc;An awe-inspiring, ornate chapel at the heart of the horde, drawing pilgrims and dignitaries from afar, and cementing the clans divine prestige.;;;;;x
