#Code;English;French;German;Spanish;Russian;x
omg_singing_stone;Singing Stone;;;;;x
omg_singing_stone_desc;A simple, sacred stone at the heart of the camp, used as an assembly point for stories and songs.;;;;;x
omg_bards_tent;Bards Tent;;;;;x
omg_bards_tent_desc;A humble tent set aside for bards and storytellers, where tales and music uplift the clans.;;;;;x
omg_musicians_pavilion;Musicians Pavilion;;;;;x
omg_musicians_pavilion_desc;A sturdy wooden pavilion, hosting music and gatherings, fostering unity and morale.;;;;;x
omg_recitation_room;Recitation Room;;;;;x
omg_recitation_room_desc;A semi-permanent yurt for formal recitals and performances, drawing crowds and inspiring the nomads.;;;;;x
omg_lyricists_hall;Lyricists Hall;;;;;x
omg_lyricists_hall_desc;A grand timber hall adorned with intricate carvings, serving as a center for lyricists, poets, and minstrels.;;;;;x
omg_poets_chamber;Poets Chamber;;;;;x
omg_poets_chamber_desc;Private quarters for esteemed poets, where the most revered compositions are crafted, strengthening clan identity.;;;;;x
omg_minstrel_gallery;Minstrel Gallery;;;;;x
omg_minstrel_gallery_desc;A raised gallery for performances, echoing across the plain, drawing in wandering clans with song and tale.;;;;;x
omg_eisteddfod_hall;Eisteddfod Hall;;;;;x
omg_eisteddfod_hall_desc;A renowned hall for bardic competitions, where the greatest talents vie for honor, uniting the clans in festivity.;;;;;x
omg_high_bards_den;High Bards Den;;;;;x
omg_high_bards_den_desc;Luxurious quarters reserved for the chief bard, whose authority binds the clans through song and tradition.;;;;;x
omg_celtic_bardic_court;Celtic Bardic Court;;;;;x
omg_celtic_bardic_court_desc;A legendary gathering ground where the greatest bards shape the destiny of the people, inspiring the horde to greatness.;;;;;x
