#Code;English;French;German;Spanish;Russian;x
ont_rope_pen;Rope Pen;;;;;x
ont_rope_pen_desc;A humble enclosure of rope and stakes, hastily erected to keep livestock from wandering on the open steppe.;;;;;x
ont_wattle_sheepfold;Wattle Sheepfold;;;;;x
ont_wattle_sheepfold_desc;A basic pen of woven reeds and wattle, providing better protection for sheep and goats against predators and the elements.;;;;;x
ont_goat_paddock;Goat Paddock;;;;;x
ont_goat_paddock_desc;A larger, sturdier paddock of timber rails and brush, suitable for housing a growing herd of goats and sheep.;;;;;x
ont_pig_enclosure;Pig Enclosure;;;;;x
ont_pig_enclosure_desc;A fenced, dug-out yard designed for hardier livestock like pigs, with simple feeding troughs and mud wallows.;;;;;x
ont_expanded_livestock_yard;Expanded Livestock Yard;;;;;x
ont_expanded_livestock_yard_desc;A broad, subdivided yard with multiple pens and covered shelters, supporting diverse herds and improved animal management.;;;;;x
ont_multi_animal_stockade;Multi-Animal Stockade;;;;;x
ont_multi_animal_stockade_desc;A fortified enclosure of timber and earth, partitioned for various animals, with basic security against theft and predators.;;;;;x
ont_tended_animal_corral;Tended Animal Corral;;;;;x
ont_tended_animal_corral_desc;A well-managed corral with herder shacks, improved fencing, and dedicated tending staff, maximizing herd health and productivity.;;;;;x
ont_breeding_shed;Breeding Shed;;;;;x
ont_breeding_shed_desc;A specialized facility for controlled breeding, with select animals, stabling, and record-keeping for herd improvement.;;;;;x
ont_animal_market_pen;Animal Market Pen;;;;;x
ont_animal_market_pen_desc;A bustling livestock market yard with auction enclosures, trade facilities, and space for visiting merchants.;;;;;x
ont_nomad_menagerie;Nomad Menagerie;;;;;x
ont_nomad_menagerie_desc;A grand, mobile menagerie showcasing prized livestock and rare breeds, symbolizing the wealth and prestige of the clan.;;;;;x
