#Code;English;French;German;Spanish;Russian;x
ouc_iranian_caravanserai_camel_post;Camel Post;;;;;x
ouc_iranian_caravanserai_camel_post_desc;A rough post marked only by tethering poles and a few makeshift tents, where camels and traders gather at the edges of the wild.;;;;;x
ouc_iranian_caravanserai_merchants_tent;Merchants Tent;;;;;x
ouc_iranian_caravanserai_merchants_tent_desc;A sturdy canvas tent, the first place for itinerant merchants to barter and rest, drawing passing caravans in search of supplies.;;;;;x
ouc_iranian_caravanserai_pack_animal_shelter;Pack Animal Shelter;;;;;x
ouc_iranian_caravanserai_pack_animal_shelter_desc;Simple timber-framed lean-tos and mud-brick pens for camels, mules, and horses, offering better care for valuable beasts of burden.;;;;;x
ouc_iranian_caravanserai_walled_pavilion;Walled Pavilion;;;;;x
ouc_iranian_caravanserai_walled_pavilion_desc;A low-walled pavilion surrounds the encampment, providing security and a central rallying point for traders and nomads alike.;;;;;x
ouc_iranian_caravanserai_market_room;Market Room;;;;;x
ouc_iranian_caravanserai_market_room_desc;A semi-permanent wooden structure serves as a bustling market, drawing distant traders and boosting the local economy.;;;;;x
ouc_iranian_caravanserai_trade_hall;Trade Hall;;;;;x
ouc_iranian_caravanserai_trade_hall_desc;A grand timbered hall for negotiations, feasts, and the exchange of contracts, anchoring the caravanserais reputation as a mercantile hub.;;;;;x
ouc_iranian_caravanserai_camel_stable;Camel Stable;;;;;x
ouc_iranian_caravanserai_camel_stable_desc;Stone-built stables allow for breeding and care of large herds of camels, vital for long-distance trade and nomadic war hosts.;;;;;x
ouc_iranian_caravanserai_merchants_house;Merchants House;;;;;x
ouc_iranian_caravanserai_merchants_house_desc;Permanent residences for wealthy merchants, with secure vaults and private courtyards, attracting long-term investment and population.;;;;;x
ouc_iranian_caravanserai_storage_pavilion;Storage Pavilion;;;;;x
ouc_iranian_caravanserai_storage_pavilion_desc;Expansive brick warehouses under watchful guards, ensuring the safe deposit of goods for caravans and increasing trade capacity.;;;;;x
ouc_iranian_grand_caravanserai;Iranian Grand Caravanserai;;;;;x
ouc_iranian_grand_caravanserai_desc;A sprawling fortified caravanserai of baked brick and stone: a true center of commerce, diplomacy, and nomadic unity on the Silk Road.;;;;;x
