#Code;English;French;German;Spanish;Russian;x
pbn_west_germanic_council_bench;Council Bench;;;;;x
pbn_west_germanic_council_bench_desc;A simple earthwork ring, ringed with logs and benches, where clan elders debate and resolve disputes.;;;;;x
pbn_west_germanic_villagers_shelter;Villagers Shelter;;;;;x
pbn_west_germanic_villagers_shelter_desc;A cluster of hide tents for villagers, offering safety and a communal hearth for cold nights.;;;;;x
pbn_west_germanic_assembly_hut;Assembly Hut;;;;;x
pbn_west_germanic_assembly_hut_desc;A large timber-framed hut, thatched and sturdy, where clansfolk gather for announcements and feasting.;;;;;x
pbn_west_germanic_delegate_tent;Delegate Tent;;;;;x
pbn_west_germanic_delegate_tent_desc;A broad canvas tent, richly decorated, housing delegates from each clan for joint councils and seasonal planning.;;;;;x
pbn_west_germanic_elders_room;Elders Room;;;;;x
pbn_west_germanic_elders_room_desc;A sturdy timber chamber, reserved for the council of elders, with carved seats and a ceremonial fire pit.;;;;;x
pbn_west_germanic_gathering_house;Gathering House;;;;;x
pbn_west_germanic_gathering_house_desc;A large wooden hall, roofed with shingles, serving as a center for feasts, moot courts, and clan proclamations.;;;;;x
pbn_west_germanic_speakers_hall;Speakers Hall;;;;;x
pbn_west_germanic_speakers_hall_desc;A grand timbered hall with raised dais and benches for speakers, fostering lively debate and clan unity.;;;;;x
pbn_west_germanic_town_meeting_room;Town Meeting Room;;;;;x
pbn_west_germanic_town_meeting_room_desc;An ornate, high-roofed chamber with long benches, where local leaders and prominent families deliberate on tribal law.;;;;;x
pbn_west_germanic_great_assembly_hall;Great Assembly Hall;;;;;x
pbn_west_germanic_great_assembly_hall_desc;A vast, imposing hall of carved oak pillars, banners, and fire-hearths, where all clans gather for the Thing or great council.;;;;;x
pbn_west_germanic_west_hall_of_councils;West Hall of Councils;;;;;x
pbn_west_germanic_west_hall_of_councils_desc;A legendary hall capped with gilded beams, echoing with the voices of lords and chieftains from across the West Germanic world, symbolizing unity and power.;;;;;x
