#Code;English;French;German;Spanish;Russian;x
pkr_east_slavic_prayer_stone;Prayer Stone;;;;;x
pkr_east_slavic_prayer_stone_desc;A simple, unhewn stone set upright in the clearing, where the clan first gathers to offer prayers and sacrifices to the spirits. It marks the sacred beginning of a new settlement and strengthens the faith of the people.;;;;;x
pkr_east_slavic_wooden_idol;Wooden Idol;;;;;x
pkr_east_slavic_wooden_idol_desc;A roughly carved idol of the gods, placed beside the stone. Family elders and wandering priests gather here, invoking blessings for unity and favor in the wild lands.;;;;;x
pkr_east_slavic_ancestor_grove;Ancestor Grove;;;;;x
pkr_east_slavic_ancestor_grove_desc;A ring of ancient trees, their roots entwined with the bones of honored ancestors. The grove is a place for ritual feasts and remembrance, fostering unity and deepening the clans ties to the land and its spirits.;;;;;x
pkr_east_slavic_spirit_hut;Spirit Hut;;;;;x
pkr_east_slavic_spirit_hut_desc;A sturdy, bark-covered longhouse serves as a center for rituals, visions, and mediation with the spirit world. Here, the clans shamans interpret omens and settle disputes, reinforcing the unity of the tribe.;;;;;x
pkr_east_slavic_sanctuary_pavilion;Sanctuary Pavilion;;;;;x
pkr_east_slavic_sanctuary_pavilion_desc;A large, cloth-draped pavilion stands at the heart of the grove, decorated with sacred sigils and river stones. All clans gather here for the great rites, binding the people together in times of crisis and celebration.;;;;;x
pkr_east_slavic_blessed_glade;Blessed Glade;;;;;x
pkr_east_slavic_blessed_glade_desc;The grove is expanded and carefully tended, with stone altars and standing idols honoring all the gods. Pilgrims and chieftains alike come to seek the wisdom and unity found in its sacred space.;;;;;x
pkr_east_slavic_priests_hall;Priests Hall;;;;;x
pkr_east_slavic_priests_hall_desc;A permanent wooden hall erected for the priesthood, filled with relics and banners. Here, the high priest holds court, maintains the calendar, and coordinates the spiritual life of the entire clan.;;;;;x
pkr_east_slavic_diviners_chamber;Diviners Chamber;;;;;x
pkr_east_slavic_diviners_chamber_desc;A secluded structure attached to the hall, where only the most skilled diviners interpret omens, cast lots, and advise the khan on the fate and unity of the people.;;;;;x
pkr_east_slavic_shrine_hall;Shrine Hall;;;;;x
pkr_east_slavic_shrine_hall_desc;A grand hall of carved wood and stone, lined with idols and sacred fires. Clan councils gather here, and the peoples unity and faith reach a peak, binding the horde in common purpose.;;;;;x
pkr_east_slavic_sacred_grove;Slavic Sacred Grove;;;;;x
pkr_east_slavic_sacred_grove_desc;The ultimate expression of East Slavic faith: a vast, walled grove encircled by ancient oaks, filled with shrines and attended by a full priestly retinue. Clan unity is absolute, the people are inspired, and the spirits' blessings flow unceasingly.;;;;;x
