#Code;English;French;German;Spanish;Russian;x
psl_baltic_sacred_oak_1;Oak Sapling;;;;;x
psl_oak_sapling_desc;A newly planted sacred oak sapling, tended by the tribe as a sign of hope and unity.;;;;;x
psl_baltic_sacred_oak_2;Wicker Fence;;;;;x
psl_wicker_fence_desc;A simple enclosure of woven branches protects the sacred area, drawing the attention of the faithful.;;;;;x
psl_baltic_sacred_oak_3;Shrine Patch;;;;;x
psl_shrine_patch_desc;Small earthen shrines and votive offerings surround the sapling, drawing more worshippers and fostering unity.;;;;;x
psl_baltic_sacred_oak_4;Blessed Oak;;;;;x
psl_blessed_oak_desc;The sapling has grown into a sturdy young oak, now considered blessed by the clans priests and used for sacred rites.;;;;;x
psl_baltic_sacred_oak_5;Idol Pavilion;;;;;x
psl_idol_pavilion_desc;A roofed wooden pavilion now shelters wooden idols and the sacred oak, serving as a focus for communal rituals and offerings.;;;;;x
psl_baltic_sacred_oak_6;Sanctuary Circle;;;;;x
psl_sanctuary_circle_desc;Sacred stones and timbers form a great circle around the oak, marking a powerful place of assembly, sacrifice, and tribal judgement.;;;;;x
psl_baltic_sacred_oak_7;Priests Hut;;;;;x
psl_priests_hut_desc;A dedicated hut for the clans priest is erected near the sanctuary, enabling more rituals, blessings, and spiritual guidance.;;;;;x
psl_baltic_sacred_oak_8;Ancestors Hall;;;;;x
psl_ancestors_hall_desc;A wooden hall for feasts and honoring the ancestors is built, deepening the tribes connection to its roots and each other.;;;;;x
psl_baltic_sacred_oak_9;High Oak Sanctuary;;;;;x
psl_high_oak_sanctuary_desc;A grand sanctuary of decorated timber and sacred carvings stands around the now-mighty oak, central to all religious life.;;;;;x
psl_baltic_sacred_oak_10;Baltic Sacred Grove;;;;;x
psl_baltic_sacred_grove_desc;The tribes holiest place: a vast, ancient grove of sacred oaks, site of clan councils, festivals, and great rites of unity.;;;;;x
