#Code;English;French;German;Spanish;Russian;x
pwp_north_germanic_godpole_stand;Godpole Stand;;;;;x
pwp_north_germanic_godpole_stand_desc;A simple wooden stake raised upon arrival in a new land, marking a space for the gods and gathering the clan for worship.;;;;;x
pwp_north_germanic_offering_table;Offering Table;;;;;x
pwp_north_germanic_offering_table_desc;A flat stone or wooden slab where offerings are left for the gods, fostering unity and reverence among the people.;;;;;x
pwp_north_germanic_wooden_idol_shelter;Wooden Idol Shelter;;;;;x
pwp_north_germanic_wooden_idol_shelter_desc;A modest roofed structure housing sacred wooden idols, allowing larger ceremonies and deepening the clans spiritual focus.;;;;;x
pwp_north_germanic_sacrifice_ring;Sacrifice Ring;;;;;x
pwp_north_germanic_sacrifice_ring_desc;A hallowed circle of stones for ritual sacrifices and public rites, uniting the clan through solemn tradition.;;;;;x
pwp_north_germanic_sacred_grove;Sacred Grove;;;;;x
pwp_north_germanic_sacred_grove_desc;A revered stand of ancient trees, ritually protected and tended, serving as the heart of the clans faith and gatherings.;;;;;x
pwp_north_germanic_priests_hut;Priests Hut;;;;;x
pwp_north_germanic_priests_hut_desc;A permanent dwelling for the clans chief priest, strengthening the spiritual leadership and guidance of the faith.;;;;;x
pwp_north_germanic_holy_oak_hall;Holy Oak Hall;;;;;x
pwp_north_germanic_holy_oak_hall_desc;An imposing oak-built hall for communal rites and feasts, fostering deep unity and respect among all clansfolk.;;;;;x
pwp_north_germanic_ritual_pavilion;Ritual Pavilion;;;;;x
pwp_north_germanic_ritual_pavilion_desc;A grand tented structure dedicated to large-scale ceremonies, attracting distant clans and strengthening faiths bonds.;;;;;x
pwp_north_germanic_diviners_yurt;Diviners Yurt;;;;;x
pwp_north_germanic_diviners_yurt_desc;A richly adorned yurt where seers and diviners interpret omens for the clan, guiding policy and uniting hearts in shared fate.;;;;;x
pwp_north_germanic_great_temple_of_the_gods;Great Temple of the Gods;;;;;x
pwp_north_germanic_great_temple_of_the_gods_desc;A resplendent temple complex, hewn from wood and stone, standing as the spiritual heart of the North Germanic people and inspiring reverence throughout the realm.;;;;;x
