#Code;English;French;German;Spanish;Russian;x
qdy_totem_stake_1;Totem Stake;;;;;x
qdy_totem_stake_1_desc;A simple carved wooden stake marking a sacred site, where offerings are left to honor the spirits.;;;;;x
qdy_ancestor_stone_circle_2;Ancestor Stone Circle;;;;;x
qdy_ancestor_stone_circle_2_desc;A ring of upright stones where the clan gathers to honor ancestors, deepening spiritual bonds.;;;;;x
qdy_shamans_firepit_3;Shamans Firepit;;;;;x
qdy_shamans_firepit_3_desc;An enduring central fire where shamans perform rituals, strengthening clan unity and guidance.;;;;;x
qdy_sacred_tree_4;Sacred Tree;;;;;x
qdy_sacred_tree_4_desc;A revered ancient tree, the heart of festivals and communion with the divine. Only permitted to those with some construction knowledge.;;;;;x
qdy_spirits_grove_5;Spirits' Grove;;;;;x
qdy_spirits_grove_5_desc;A sacred grove maintained for ceremonies, attracting pilgrims and wise men from afar.;;;;;x
qdy_prayer_pavilion_6;Prayer Pavilion;;;;;x
qdy_prayer_pavilion_6_desc;A vast, ornate tent where the faithful gather for regular worship, cementing the clans devotion.;;;;;x
qdy_idol_sanctuary_7;Idol Sanctuary;;;;;x
qdy_idol_sanctuary_7_desc;A permanent wooden shrine housing revered idols, where offerings and vows are made by all clansfolk.;;;;;x
qdy_blessed_yurt_8;Blessed Yurt;;;;;x
qdy_blessed_yurt_8_desc;A grand yurt adorned with sacred symbols, serving as the spiritual center for the nomad ruler and council.;;;;;x
qdy_holy_grounds_9;Holy Grounds;;;;;x
qdy_holy_grounds_9_desc;An expanse of consecrated land preserved for major ceremonies and seasonal gatherings of the faithful.;;;;;x
qdy_steppe_temple_10;Steppe Temple;;;;;x
qdy_steppe_temple_10_desc;A monumental temple complex of wood and stone, the ultimate testament to the clans faith and unity.;;;;;x
