#Code;English;French;German;Spanish;Russian;x
qez_open_market_blanket;Open Market Blanket;;;;;x
qez_open_market_blanket_desc;A humble piece of cloth spread on the ground, where basic goods are exchanged among travelers and nomads. The first step toward a true trading community.;;;;;x
qez_barter_stall;Barter Stall;;;;;x
qez_barter_stall_desc;A simple wooden stall, protected by a patchwork tarp, where goods and livestock are bartered. Improves local commerce and unity.;;;;;x
qez_covered_goods_stand;Covered Goods Stand;;;;;x
qez_covered_goods_stand_desc;A more permanent, canvas-roofed stand for displaying wares. Attracts more traders, increasing prosperity and supporting a growing horde.;;;;;x
qez_pack_animal_station;Pack Animal Station;;;;;x
qez_pack_animal_station_desc;A gathering point for beasts of burden, where traders and caravans can rest and resupply before continuing their journey.;;;;;x
qez_merchants_tent;Merchants Tent;;;;;x
qez_merchants_tent_desc;A well-furnished, guarded tent where prominent merchants strike lucrative deals and host influential guests from afar.;;;;;x
qez_exchange_pavilion;Exchange Pavilion;;;;;x
qez_exchange_pavilion_desc;A large, sturdy pavilion where distant traders meet, and the first attempts at standardized trade practices are employed.;;;;;x
qez_trading_post;Trading Post;;;;;x
qez_trading_post_desc;A semi-permanent structure of timber and hide, this post serves as a hub for regional trade and information exchange, drawing merchants from neighboring lands.;;;;;x
qez_travelers_market;Travelers' Market;;;;;x
qez_travelers_market_desc;A bustling, multi-tent market that draws traders and wanderers from many realms. Diverse wares, news, and folk mingle freely, fueling the hordes prosperity.;;;;;x
qez_grand_caravan_bazaar;Grand Caravan Bazaar;;;;;x
qez_grand_caravan_bazaar_desc;A sprawling bazaar, with permanent yurts and pavilions, where entire caravans converge. Exotic luxuries and rare beasts are traded in grand style, and the hordes influence swells.;;;;;x
qez_silk_road_emporium;Silk Road Emporium;;;;;x
qez_silk_road_emporium_desc;A legendary emporium at the crossroads of the world, with palatial tents, stone storehouses, and a river of goods from East and West. The hordes renown, wealth, and unity reach unprecedented heights.;;;;;x
