#Code;English;French;German;Spanish;Russian;x
qjz_east_african_clay_catchment;Clay Catchment;;;;;x
qjz_east_african_clay_catchment_desc;A rudimentary pit dug in clay-rich soil to capture precious rainfall, allowing nomads to survive dry spells.;;;;;x
qjz_east_african_wooden_trough;Wooden Trough;;;;;x
qjz_east_african_wooden_trough_desc;Simple troughs made of local timber, supporting basic water storage and livestock needs for the moving clan.;;;;;x
qjz_east_african_stone_basin;Stone Basin;;;;;x
qjz_east_african_stone_basin_desc;A durable, stone-lined basin for rainwater collection, protecting supply from evaporation and contamination.;;;;;x
qjz_east_african_rain_collector;Rain Collector;;;;;x
qjz_east_african_rain_collector_desc;A sophisticated collection system using sloped surfaces and channels, maximizing the capture of seasonal rains.;;;;;x
qjz_east_african_guarded_tank;Guarded Tank;;;;;x
qjz_east_african_guarded_tank_desc;A fortified water tank with guards and fencing, protecting the vital supply from theft and contamination.;;;;;x
qjz_east_african_filtered_pavilion;Filtered Pavilion;;;;;x
qjz_east_african_filtered_pavilion_desc;A tented structure with sand and gravel filtering, providing cleaner water and boosting the health and unity of the clan.;;;;;x
qjz_east_african_covered_reservoir;Covered Reservoir;;;;;x
qjz_east_african_covered_reservoir_desc;A large, roofed reservoir that shields precious water from the sun and dust storms, ensuring clan survival in the harshest seasons.;;;;;x
qjz_east_african_expanded_tank;Expanded Tank;;;;;x
qjz_east_african_expanded_tank_desc;A massive, stone-lined tank with multiple compartments, capable of supporting large gatherings and livestock herds.;;;;;x
qjz_east_african_community_water_hall;Community Water Hall;;;;;x
qjz_east_african_community_water_hall_desc;A grand communal hall built beside the tank, doubling as a council meeting place and water distribution center, strengthening unity and prestige.;;;;;x
qjz_east_african_rain_tank;East African Rain Tank;;;;;x
qjz_east_african_rain_tank_desc;The ultimate feat of engineering for nomads: a vast, protected water system that sustains the mightiest of clans and inspires awe among all who see it.;;;;;x
