#Code;English;French;German;Spanish;Russian;x
qpo_south_slavic_shrine_wicker_stand;Wicker Stand;;;;;x
qpo_south_slavic_shrine_wicker_stand_desc;A simple shrine made from interwoven branches, serving as a primitive focus for South Slavic prayers and offerings.;;;;;x
qpo_south_slavic_shrine_prayer_hut;Prayer Hut;;;;;x
qpo_south_slavic_shrine_prayer_hut_desc;A modest wooden hut, roofed with thatch, where the clan gathers for communal prayers and small ceremonies.;;;;;x
qpo_south_slavic_shrine_ancestors_pavilion;Ancestors Pavilion;;;;;x
qpo_south_slavic_shrine_ancestors_pavilion_desc;A larger, open-air structure adorned with icons and symbols of honored ancestors, fostering greater unity and tradition.;;;;;x
qpo_south_slavic_shrine_spirit_shelter;Spirit Shelter;;;;;x
qpo_south_slavic_shrine_spirit_shelter_desc;A sturdy wooden shelter, decorated with sacred carvings and spirit totems, providing a spiritual heart for the clan.;;;;;x
qpo_south_slavic_shrine_priests_room;Priests Room;;;;;x
qpo_south_slavic_shrine_priests_room_desc;Private quarters for the clans priest, enabling more elaborate rituals and closer guidance for the faithful.;;;;;x
qpo_south_slavic_shrine_blessed_glade;Blessed Glade;;;;;x
qpo_south_slavic_shrine_blessed_glade_desc;A sacred grove, carefully tended and circled with stones, held to be a place of powerful communion with the gods.;;;;;x
qpo_south_slavic_shrine_sanctified_hall;Sanctified Hall;;;;;x
qpo_south_slavic_shrine_sanctified_hall_desc;A grand timber hall, decorated with sacred symbols and relics, serving as a center for the most important clan rites.;;;;;x
qpo_south_slavic_shrine_diviners_chamber;Diviners Chamber;;;;;x
qpo_south_slavic_shrine_diviners_chamber_desc;A secluded chamber for the clans diviner, dedicated to prophecy, dream interpretation, and strengthening unity.;;;;;x
qpo_south_slavic_shrine_shrine_pavilion;Shrine Pavilion;;;;;x
qpo_south_slavic_shrine_shrine_pavilion_desc;A resplendent pavilion of carved wood and stone, housing sacred images and relics, a spiritual beacon for the entire clan.;;;;;x
qpo_south_slavic_shrine_south_slavic_sanctuary;South Slavic Sanctuary;;;;;x
qpo_south_slavic_shrine_south_slavic_sanctuary_desc;The ultimate religious center for South Slavic nomads: a magnificent sanctuary of timber and stone, adorned with the symbols of gods and ancestors, uniting the clan in faith and spirit.;;;;;x
