#Code;English;French;German;Spanish;Russian;x
qrm_wooden_reliquary_box;Wooden Reliquary Box;;;;;x
qrm_wooden_reliquary_box_desc;A crude, portable wooden chest for safeguarding minor relics, inspiring the faithful even on the open steppe.;;;;;x
qrm_stone_chest;Stone Chest;;;;;x
qrm_stone_chest_desc;A sturdy stone chest for more sacred relics, lending weight to the clans faith and unity.;;;;;x
qrm_guarded_shrine;Guarded Shrine;;;;;x
qrm_guarded_shrine_desc;A tented shrine, watched day and night by faithful guards, bolstering faith and the trust of the clans.;;;;;x
qrm_chamber_of_relics;Chamber of Relics;;;;;x
qrm_chamber_of_relics_desc;A tented chamber lined with icons and relics, where clan elders gather for prayer and council.;;;;;x
qrm_sanctified_room;Sanctified Room;;;;;x
qrm_sanctified_room_desc;A robust, sanctified enclosure for the holiest relics, drawing respect from all Christian nomads.;;;;;x
qrm_protected_pavilion;Protected Pavilion;;;;;x
qrm_protected_pavilion_desc;A grand pavilion built with timber and decorated in holy motifs, a spiritual focus for the entire horde.;;;;;x
qrm_priests_chamber;Priests Chamber;;;;;x
qrm_priests_chamber_desc;A permanent tent for a Christian priest, who tends the relics and counsels the clan, fostering deep unity.;;;;;x
qrm_holy_hall;Holy Hall;;;;;x
qrm_holy_hall_desc;A semi-permanent wooden hall for worship and council, housing priceless relics and binding the faithful together.;;;;;x
qrm_canopied_sanctuary;Canopied Sanctuary;;;;;x
qrm_canopied_sanctuary_desc;A grand mobile sanctuary of cloth and timber, with relics displayed beneath gilded canopies, inspiring awe and piety.;;;;;x
qrm_grand_reliquary;Grand Reliquary;;;;;x
qrm_grand_reliquary_desc;A magnificent, near-permanent reliquary complex, famed among Christian nomads, uniting the clans in holy purpose.;;;;;x
