#Code;English;French;German;Spanish;Russian;x
qyr_baltic_reed_net_patch_1;Reed Net Patch;;;;;x
qyr_baltic_reed_net_patch_1_desc;A simple patch of woven reeds used for basic fishing nets, marking the earliest efforts of the camp to exploit the bounty of the Baltic waters.;;;;;x
qyr_baltic_fish_drying_stand_2;Fish Drying Stand;;;;;x
qyr_baltic_fish_drying_stand_2_desc;Wooden racks for sun-drying fish, allowing for longer storage and increased food security for the nomadic camp.;;;;;x
qyr_baltic_boat_shelter_3;Boat Shelter;;;;;x
qyr_baltic_boat_shelter_3_desc;A makeshift shelter of hides and timber, protecting small fishing boats from the elements and enabling basic repairs.;;;;;x
qyr_baltic_fish_rack_4;Fish Rack;;;;;x
qyr_baltic_fish_rack_4_desc;Improved racks for large-scale drying and storage, supporting a growing fishing operation and community.;;;;;x
qyr_baltic_smokehouse_tent_5;Smokehouse Tent;;;;;x
qyr_baltic_smokehouse_tent_5_desc;A portable smokehouse, using Baltic alder wood to preserve large quantities of fish and improve clan sustenance.;;;;;x
qyr_baltic_dock_pavilion_6;Dock Pavilion;;;;;x
qyr_baltic_dock_pavilion_6_desc;A sturdy, semi-permanent dock with a covered area for unloading catches, improving trade and the flow of supplies.;;;;;x
qyr_baltic_fishermans_hall_7;Fishermans Hall;;;;;x
qyr_baltic_fishermans_hall_7_desc;A timber hall for clan gatherings, negotiations, and storing valuable fishing tools, bolstering unity and organization.;;;;;x
qyr_baltic_fish_market_8;Fish Market;;;;;x
qyr_baltic_fish_market_8_desc;A bustling fish market, drawing traders and merchants from afar, greatly increasing tax and trade opportunities.;;;;;x
qyr_baltic_sea_pavilion_9;Sea Pavilion;;;;;x
qyr_baltic_sea_pavilion_9_desc;A grand pavilion on the shore, serving as both a symbol of prosperity and a logistical hub for Baltic expeditions.;;;;;x
qyr_baltic_harbor_10;Baltic Harbor;;;;;x
qyr_baltic_harbor_10_desc;A fortified harbor with stone piers, warehouses, and bustling commerce, anchoring the entire nomadic clans prosperity and naval reach.;;;;;x
