#Code;English;French;German;Spanish;Russian;x
rbb_wagon_circle;Wagon Circle;;;;;x
rbb_wagon_circle_desc;A rough circle of wagons for shelter and basic defense, forming the nucleus of a nomadic camp.;;;;;x
rbb_hide_tent_cluster;Hide Tent Cluster;;;;;x
rbb_hide_tent_cluster_desc;Clusters of hide tents for the growing community, providing better shelter and organization.;;;;;x
rbb_yurt_hamlet;Yurt Hamlet;;;;;x
rbb_yurt_hamlet_desc;A small hamlet of felt yurts, offering improved habitability and space for larger families.;;;;;x
rbb_leather_pavilion_camp;Leather Pavilion Camp;;;;;x
rbb_leather_pavilion_camp_desc;A camp of large, durable leather pavilions suitable for leadership gatherings and communal decision-making.;;;;;x
rbb_wooden_yurt_village;Wooden Yurt Village;;;;;x
rbb_wooden_yurt_village_desc;A village of wooden-framed yurts, providing significant expansion and better comfort for the nomad community.;;;;;x
rbb_reinforced_tent_settlement;Reinforced Tent Settlement;;;;;x
rbb_reinforced_tent_settlement_desc;A fortified cluster of reinforced tents and stockpiled supplies, prepared to withstand raids and harsh seasons.;;;;;x
rbb_timber_framed_yurt_town;Timber-Framed Yurt Town;;;;;x
rbb_timber_framed_yurt_town_desc;A sizable town of timber-framed yurts and communal halls, bustling with prosperous nomad life.;;;;;x
rbb_palisaded_nomad_village;Palisaded Nomad Village;;;;;x
rbb_palisaded_nomad_village_desc;A village encircled by a timber palisade, offering strong protection for people, livestock, and supplies.;;;;;x
rbb_defended_encampment;Defended Encampment;;;;;x
rbb_defended_encampment_desc;A highly organized encampment with watchtowers, sentry posts, and defensive ditches.;;;;;x
rbb_fortified_caravanserai;Fortified Caravanserai;;;;;x
rbb_fortified_caravanserai_desc;A grand, fortified hub for trade and gathering, boasting robust defenses and abundant stores for the entire horde.;;;;;x
