#Code;English;French;German;Spanish;Russian;x
rkg_nomad_prayer_mat_stand;Prayer Mat Stand;;;;;x
rkg_nomad_prayer_mat_stand_desc;A simple tented stand where the faithful gather on mats for communal prayers, fostering unity among the clan.;;;;;x
rkg_nomad_wooden_mihrab;Wooden Mihrab;;;;;x
rkg_nomad_wooden_mihrab_desc;A modest wooden niche marks the direction of prayer, lending legitimacy and formality to nomadic worship.;;;;;x
rkg_nomad_stone_niche;Stone Niche;;;;;x
rkg_nomad_stone_niche_desc;A semi-permanent stone mihrab, signifying a growing and respected Muslim presence among the clan.;;;;;x
rkg_nomad_minaret_pavilion;Minaret Pavilion;;;;;x
rkg_nomad_minaret_pavilion_desc;A canvas pavilion with a wooden minaret, allowing for the call to prayer to echo across the steppe.;;;;;x
rkg_nomad_imams_room;Imams Room;;;;;x
rkg_nomad_imams_room_desc;A dedicated tent for the imam, providing guidance, mediation, and spiritual leadership to the nomadic clan.;;;;;x
rkg_nomad_sanctified_chamber;Sanctified Chamber;;;;;x
rkg_nomad_sanctified_chamber_desc;A robust, semi-permanent prayer chamber, sanctified for special rites and enhanced spiritual gatherings.;;;;;x
rkg_nomad_altar_hall;Altar Hall;;;;;x
rkg_nomad_altar_hall_desc;A large gathering hall with an ornate altar, hosting festive prayers, assemblies, and clan ceremonies.;;;;;x
rkg_nomad_community_mosque;Community Mosque;;;;;x
rkg_nomad_community_mosque_desc;A fully-formed mosque complex, uniting the clan and neighboring nomads in worship and learning.;;;;;x
rkg_nomad_grand_mosque_room;Grand Mosque Room;;;;;x
rkg_nomad_grand_mosque_room_desc;A grand tented hall, richly adorned, serves as the spiritual heart of the clans faith and gathering place for regional leaders.;;;;;x
rkg_nomad_grand_muslim_mosque;Muslim Grand Mosque;;;;;x
rkg_nomad_grand_muslim_mosque_desc;The ultimate symbol of Islamic faith on the steppes: a grand mosque with a minaret visible for miles, drawing pilgrims and uniting the clans under one spiritual banner.;;;;;x
