#Code;English;French;German;Spanish;Russian;x
rmd_mesoamerican_dirt_patch;Dirt Patch;;;;;x
rmd_mesoamerican_dirt_patch_desc;A makeshift patch of earth, roughly cleared for the first games. Marked by trampled ground and wooden stakes, it draws the clan together in simple contests.;;;;;x
rmd_mesoamerican_stone_boundary;Stone Boundary;;;;;x
rmd_mesoamerican_stone_boundary_desc;Rough stones outline the court, discouraging wandering livestock and giving the games structure. The first sign of permanent effort, it fosters a sense of territory.;;;;;x
rmd_mesoamerican_raised_platform;Raised Platform;;;;;x
rmd_mesoamerican_raised_platform_desc;Low earthen platforms border the court, elevating the field of play and suggesting the beginnings of ceremonial purpose.;;;;;x
rmd_mesoamerican_marker_ring;Marker Ring;;;;;x
rmd_mesoamerican_marker_ring_desc;Stone rings, hoisted on posts, serve as goals and markers for the sacred ballgame, attracting greater crowds and inspiring awe.;;;;;x
rmd_mesoamerican_spectator_stand;Spectator Stand;;;;;x
rmd_mesoamerican_spectator_stand_desc;Timber and stone benches rise above the court, allowing the clans people to gather and witness the games, promoting unity and shared tradition.;;;;;x
rmd_mesoamerican_scorers_pavilion;Scorers Pavilion;;;;;x
rmd_mesoamerican_scorers_pavilion_desc;A dedicated structure for officials to record and judge the games, encouraging fairness and fostering clan prestige.;;;;;x
rmd_mesoamerican_chieftains_seat;Chieftains Seat;;;;;x
rmd_mesoamerican_chieftains_seat_desc;A prominent throne constructed for the clan leader, symbolizing authority and cementing the courts role as a center of unity.;;;;;x
rmd_mesoamerican_ceremonial_court;Ceremonial Court;;;;;x
rmd_mesoamerican_ceremonial_court_desc;The court becomes a place of ritual, with altars and decorative carvings. Festivals and games now unite the whole clan, inspiring loyalty and awe.;;;;;x
rmd_mesoamerican_high_arena;High Arena;;;;;x
rmd_mesoamerican_high_arena_desc;Massive stepped terraces and ceremonial entryways surround the court. The arena dominates the region, gathering crowds from afar and enhancing the clans prestige.;;;;;x
rmd_grand_mesoamerican_ballcourt;Grand Mesoamerican Ballcourt;;;;;x
rmd_grand_mesoamerican_ballcourt_desc;A vast, monumental court with sculpted walls, ceremonial plazas, and sacred rings. The heart of the clan, it is a beacon of unity and tradition for all who witness it.;;;;;x
