#Code;English;French;German;Spanish;Russian;x
roh_east_slavic_root_cellar;Root Cellar;;;;;x
roh_east_slavic_root_cellar_desc;A shallow, hand-dug pit lined with brush and timber, used to keep grain safe from weather and rot in the open steppe.;;;;;x
roh_east_slavic_earthen_pit;Earthen Pit;;;;;x
roh_east_slavic_earthen_pit_desc;A deeper, reinforced pit with straw insulation, allowing for larger and safer storage of harvested grains.;;;;;x
roh_east_slavic_wattle_storage_shed;Wattle Storage Shed;;;;;x
roh_east_slavic_wattle_storage_shed_desc;A simple above-ground shed of woven wattle and daub, providing better protection from animals and damp.;;;;;x
roh_east_slavic_thatched_granary;Thatched Granary;;;;;x
roh_east_slavic_thatched_granary_desc;A sturdy, thatch-roofed granary raised on posts, keeping grain dry and safe from pests and floods.;;;;;x
roh_east_slavic_rodent_proof_silo;Rodent-Proof Silo;;;;;x
roh_east_slavic_rodent_proof_silo_desc;A sealed, timber-walled storage with stone foundations, designed specifically to keep out rodents and birds.;;;;;x
roh_east_slavic_guarded_grain_pavilion;Guarded Grain Pavilion;;;;;x
roh_east_slavic_guarded_grain_pavilion_desc;A fortified pavilion with watch posts and guards, ensuring the security of the clans vital grain stores during migration and war.;;;;;x
roh_east_slavic_timber_storage_hall;Timber Storage Hall;;;;;x
roh_east_slavic_timber_storage_hall_desc;A large wooden hall, with raised platforms and ventilation, allowing storage of vast quantities of grain for entire clans.;;;;;x
roh_east_slavic_expanded_granary;Expanded Granary;;;;;x
roh_east_slavic_expanded_granary_desc;A sprawling complex of interconnected timber buildings for storing and sorting grain, with space for seasonal surpluses and emergencies.;;;;;x
roh_east_slavic_grain_exchange_room;Grain Exchange Room;;;;;x
roh_east_slavic_grain_exchange_room_desc;A central exchange for the storage and trade of grain between clans, boosting both supply and economic influence.;;;;;x
roh_east_slavic_grand_granary;Slavic Grand Granary;;;;;x
roh_east_slavic_grand_granary_desc;A monumental grain complex, symbol of the clans prosperity and unity, with tall towers, stone foundations, and administrative offices.;;;;;x
