#Code;English;French;German;Spanish;Russian;x
rwo_wicker_shrine;Wicker Shrine;;;;;x
rwo_wicker_shrine_desc;A simple sacred place marked by woven wooden idols and offerings, serving as a spiritual heart for the nomads.;;;;;x
rwo_druids_circle;Druids Circle;;;;;x
rwo_druids_circle_desc;A ring of standing stones where druids gather to perform rites and guide the tribe through wisdom and rituals.;;;;;x
rwo_oak_shelter;Oak Shelter;;;;;x
rwo_oak_shelter_desc;A sturdy wooden structure beneath great oaks, offering communal shelter for sacred gatherings and celebrations.;;;;;x
rwo_sacred_spring;Sacred Spring;;;;;x
rwo_sacred_spring_desc;A revered spring, encircled by carved stones, where water is believed to carry blessings and purify the tribe.;;;;;x
rwo_blessed_glade;Blessed Glade;;;;;x
rwo_blessed_glade_desc;A glade hallowed by ritual, where sacred fires are kept burning and tribes gather for great ceremonies.;;;;;x
rwo_spirit_stand;Spirit Stand;;;;;x
rwo_spirit_stand_desc;A series of monumental totems and carved stones, channeling the spirits of ancestors and the land itself.;;;;;x
rwo_sanctified_grove;Sanctified Grove;;;;;x
rwo_sanctified_grove_desc;A revered grove enclosed by sacred trees, guarded by a druidic order and reserved for the most important rites.;;;;;x
rwo_druids_pavilion;Druids Pavilion;;;;;x
rwo_druids_pavilion_desc;A large, elaborately decorated tent where the chief druid presides over the tribes spiritual matters and preserves sacred knowledge.;;;;;x
rwo_holy_oak_hall;Holy Oak Hall;;;;;x
rwo_holy_oak_hall_desc;A grand timber hall built around a mighty oak, serving as the spiritual and administrative center for the tribes faith.;;;;;x
rwo_celtic_sacred_sanctuary;Celtic Sacred Sanctuary;;;;;x
rwo_celtic_sacred_sanctuary_desc;A vast, hallowed sanctuary of stone and living trees, the ultimate center of Celtic spirituality, unity, and tradition for the nomadic tribe.;;;;;x
