#Code;English;French;German;Spanish;Russian;x
rwu_boat_dragway_1;Boat Dragway;;;;;x
rwu_boat_dragway_1_desc;A muddy shoreline where boats are dragged ashore and hastily repaired. Marked by tracks through reeds and sand, it is the most basic infrastructure for seaborne raiders.;;;;;x
rwu_reed_dock_2;Reed Dock;;;;;x
rwu_reed_dock_2_desc;A makeshift dock built from bundled reeds and driftwood, providing slightly improved landing and resupply for small raiding parties.;;;;;x
rwu_wicker_boat_shelter_3;Wicker Boat Shelter;;;;;x
rwu_wicker_boat_shelter_3_desc;Light structures of woven branches and hides, giving raiders’ boats and gear modest protection from the elements, and enabling faster turnarounds for expeditions.;;;;;x
rwu_longboat_slipway_4;Longboat Slipway;;;;;x
rwu_longboat_slipway_4_desc;A timbered ramp and rails for launching and retrieving longboats, enabling rapid deployment and maintenance for larger raiding fleets.;;;;;x
rwu_timber_wharf_5;Timber Wharf;;;;;x
rwu_timber_wharf_5_desc;A solid wooden wharf with mooring posts, warehouses, and space for crew mustering, greatly boosting raider logistical capabilities.;;;;;x
rwu_shielded_landing_6;Shielded Landing;;;;;x
rwu_shielded_landing_6_desc;A fortified landing zone with palisades, watchfires, and concealed approaches, protecting raiders and vessels from ambush and weather alike.;;;;;x
rwu_sailmakers_shed_7;Sailmakers Shed;;;;;x
rwu_sailmakers_shed_7_desc;A dedicated structure for weaving, repairing, and storing sails and rigging, allowing for swift refitting and longer-range expeditions.;;;;;x
rwu_raiders_hut_8;Raiders' Hut;;;;;x
rwu_raiders_hut_8_desc;A cluster of well-built huts for elite raider captains and their retinues, with communal firepits and rallying banners, strengthening clan bonds and morale.;;;;;x
rwu_viking_shipyard_9;Viking Shipyard;;;;;x
rwu_viking_shipyard_9_desc;A sprawling shipyard of seasoned oak and stone, staffed by master shipwrights and boasting drydocks, armories, and barracks for the most ambitious raiding campaigns.;;;;;x
rwu_north_sea_stronghold_10;North Sea Stronghold;;;;;x
rwu_north_sea_stronghold_10_desc;A legendary bastion on the waves, combining shipyards, fortified walls, great halls, and rallying grounds—supreme headquarters for North Germanic raids and dominance at sea.;;;;;x
