#Code;English;French;German;Spanish;Russian;x
sct_stone_tool_shed;Stone Tool Shed;;;;;x
sct_stone_tool_shed_desc;A basic lean-to or tented shelter where simple stone and bone weapons are crafted with crude tools. Enables the clan to begin arming itself in the wild steppe.;;;;;x
sct_wooden_weapons_bench;Wooden Weapons Bench;;;;;x
sct_wooden_weapons_bench_desc;A rough-hewn workbench under canvas, where skilled hands carve clubs, spears, and bows from local wood. The first step to arming your horde with more than stone implements.;;;;;x
sct_basic_forge;Basic Forge;;;;;x
sct_basic_forge_desc;A primitive forge, often little more than a pit and bellows, but sufficient to shape iron for arrowheads and spear tips.;;;;;x
sct_iron_weapons_stand;Iron Weapons Stand;;;;;x
sct_iron_weapons_stand_desc;A mobile rack of iron swords, axes, and arrowheads forged by veteran smiths, allowing the horde to field more professional warriors.;;;;;x
sct_composite_bow_workshop;Composite Bow Workshop;;;;;x
sct_composite_bow_workshop_desc;A specialized tent where master bowyers craft the renowned river nomad composite bows, famed for their power and range.;;;;;x
sct_lance_makers_tent;Lance Makers Tent;;;;;x
sct_lance_makers_tent_desc;A mobile smithy and armorers pavilion, producing weighted lances and reinforced arms for the elite cavalry of the horde.;;;;;x
sct_fine_blade_smithy;Fine Blade Smithy;;;;;x
sct_fine_blade_smithy_desc;A semi-permanent forge and workshop for the creation of decorated swords and axes, arming the hordes champions and officers.;;;;;x
sct_ornamented_armory;Ornamented Armory;;;;;x
sct_ornamented_armory_desc;A grand armory tent, lined with richly decorated weapons and armor, boosting prestige and attracting ambitious warriors to your banner.;;;;;x
sct_master_weapons_pavilion;Master Weapons Pavilion;;;;;x
sct_master_weapons_pavilion_desc;A resplendent mobile pavilion, staffed by master smiths crafting the finest river nomad arms and armor, ensuring your warriors are the best equipped on the plains.;;;;;x
sct_steppe_arsenal;Nomad Arsenal;;;;;x
sct_steppe_arsenal_desc;A legendary rolling arsenal, housing the finest weaponsmiths, bowyers, and armorers. The heart of every great khans horde.;;;;;x
sct_river_nomad_arsenal;River Nomad Arsenal;;;;;x
sct_river_nomad_arsenal_desc;A legendary rolling arsenal, housing the finest weaponsmiths, bowyers, and armorers among the river nomads. The heart of every great khans horde.;;;;;x
