#Code;English;French;German;Spanish;Russian;x
sdp_iberian_hilltop_perch;Hilltop Perch;;;;;x
sdp_iberian_hilltop_perch_desc;A basic earthwork mound and tent atop a prominent hill, offering primitive lookout for approaching threats and quick communication.;;;;;x
sdp_iberian_wooden_lookout;Wooden Lookout;;;;;x
sdp_iberian_wooden_lookout_desc;A raised wooden platform with a crude shelter, granting improved visibility and warning against raiders and wildlife.;;;;;x
sdp_iberian_stone_watch_stand;Stone Watch Stand;;;;;x
sdp_iberian_stone_watch_stand_desc;A sturdy stone platform and low wall giving better defense and a commanding view, manned by trusted scouts.;;;;;x
sdp_iberian_beacon_tower;Beacon Tower;;;;;x
sdp_iberian_beacon_tower_desc;A tall, stone-and-wood tower with fire signal system, enabling swift alerts across the steppe and bolstering clan unity.;;;;;x
sdp_iberian_guarded_shelter;Guarded Shelter;;;;;x
sdp_iberian_guarded_shelter_desc;A fortified enclosure at the watchtowers base, providing supplies and refuge to scouts and messengers.;;;;;x
sdp_iberian_signal_pavilion;Signal Pavilion;;;;;x
sdp_iberian_signal_pavilion_desc;A covered signal structure with advanced banners, torches, and bells for coordinated warning and horde mobilization.;;;;;x
sdp_iberian_defended_post;Defended Post;;;;;x
sdp_iberian_defended_post_desc;A walled compound with barracks for sentries, offering a permanent presence and rapid response to threats.;;;;;x
sdp_iberian_messengers_hall;Messengers Hall;;;;;x
sdp_iberian_messengers_hall_desc;A grand hall for messengers and scouts to rest, resupply, and coordinate vital intelligence, improving horde cohesion and logistics.;;;;;x
sdp_iberian_high_watch_tower;High Watch Tower;;;;;x
sdp_iberian_high_watch_tower_desc;A monumental stone tower with multiple defensive levels, advanced signal systems, and permanent garrison—projecting power and security over the land.;;;;;x
sdp_iberian_sentinel;Iberian Sentinel;;;;;x
sdp_iberian_sentinel_desc;An imposing, multi-towered fortress and nerve center for all steppe communications and defenses, inspiring awe and unity among the clans.;;;;;x
