#Code;English;French;German;Spanish;Russian;x
sju_mesoamerican_stone_bench;Stone Bench;;;;;x
sju_mesoamerican_stone_bench_desc;A simple stone bench, hewn from local rock, serves as both a workspace and symbol of the first settled artisans in the wild frontier. It marks the beginning of organized stonework among the nomads.;;;;;x
sju_mesoamerican_carvers_hut;Carvers Hut;;;;;x
sju_mesoamerican_carvers_hut_desc;A crude shelter of timber and thatch houses the first dedicated stone carvers, increasing efficiency and attracting craftspeople to the growing camp.;;;;;x
sju_mesoamerican_stone_cutter_room;Stone Cutter Room;;;;;x
sju_mesoamerican_stone_cutter_room_desc;A sturdier structure built of stone and wood, providing space for multiple artisans and allowing for more sophisticated stonework, further boosting the camps productivity.;;;;;x
sju_mesoamerican_patterned_workshop;Patterned Workshop;;;;;x
sju_mesoamerican_patterned_workshop_desc;A semi-permanent stone and adobe workshop, adorned with basic patterns, where skilled artisans coordinate decoration and advanced stonework, enhancing the camps prestige and unity.;;;;;x
sju_mesoamerican_fine_carving_pavilion;Fine Carving Pavilion;;;;;x
sju_mesoamerican_fine_carving_pavilion_desc;A grand pavilion with intricate stonework, reserved for master artisans. Its presence inspires the clan, increases population, and attracts renowned craftsmen from afar.;;;;;x
sju_mesoamerican_master_carver_hall;Master Carver Hall;;;;;x
sju_mesoamerican_master_carver_hall_desc;A prestigious stone hall, home to the most skilled carvers. It serves as a center for artisan training and innovation, strengthening the hordes logistical backbone.;;;;;x
sju_mesoamerican_artisans_chamber;Artisans Chamber;;;;;x
sju_mesoamerican_artisans_chamber_desc;A lavish chamber reserved for the most talented artisans, providing a hub for innovation and coordination of major stoneworks across the hordes territory.;;;;;x
sju_mesoamerican_guild_pavilion;Guild Pavilion;;;;;x
sju_mesoamerican_guild_pavilion_desc;A monumental tented pavilion where guilds of Mesoamerican stoneworkers gather. This structure fosters unity, coordination, and logistical excellence for the nomad horde.;;;;;x
sju_mesoamerican_grand_stone_hall;Grand Stone Hall;;;;;x
sju_mesoamerican_grand_stone_hall_desc;The Grand Stone Hall stands as a testament to Mesoamerican mastery, a permanent and magnificently adorned center of administration and unity for the nomad clan.;;;;;x
sju_mesoamerican_stone_guild;Mesoamerican Stone Guild;;;;;x
sju_mesoamerican_stone_guild_desc;A legendary guild, bringing together all master artisans, planners, and stoneworkers under one roof. It is the ultimate symbol of Mesoamerican nomad strength and organization.;;;;;x
