#Code;English;French;German;Spanish;Russian;x
skd_stone_bath_nomad_jewish_1;Stone Bath;;;;;x
skd_stone_bath_nomad_jewish_1_desc;A simple pit lined with stones, filled with clean water and used for basic ritual washing among the Israelite nomads.;;;;;x
skd_water_storage_nomad_jewish_2;Water Storage;;;;;x
skd_water_storage_nomad_jewish_2_desc;Animal-skin cisterns and clay jars help preserve precious water for ritual use, ensuring the clans ability to maintain purity.;;;;;x
skd_ritual_pool_nomad_jewish_3;Ritual Pool;;;;;x
skd_ritual_pool_nomad_jewish_3_desc;A purpose-dug pool, lined and protected, allowing for more thorough ritual immersion for the clans faithful.;;;;;x
skd_heated_chamber_nomad_jewish_4;Heated Chamber;;;;;x
skd_heated_chamber_nomad_jewish_4_desc;A tented room warmed by stones and embers, allowing ritual bathing in comfort even in winter or harsh climates.;;;;;x
skd_changing_room_nomad_jewish_5;Changing Room;;;;;x
skd_changing_room_nomad_jewish_5_desc;A wooden structure for undressing and preparing for immersion, helping maintain separation and propriety.;;;;;x
skd_private_bath_pavilion_nomad_jewish_6;Private Bath Pavilion;;;;;x
skd_private_bath_pavilion_nomad_jewish_6_desc;A tented or wooden enclosure reserved for elders and respected families, enhancing unity and privacy for ritual cleansing.;;;;;x
skd_community_bathhouse_nomad_jewish_7;Community Bathhouse;;;;;x
skd_community_bathhouse_nomad_jewish_7_desc;A permanent bathhouse of stone and wood, with separate pools for men and women. It is the heart of ritual purity for the entire clan.;;;;;x
skd_family_bath_hall_nomad_jewish_8;Family Bath Hall;;;;;x
skd_family_bath_hall_nomad_jewish_8_desc;A grand building, richly decorated, with chambers for families to perform purification rites together, strengthening ties and unity.;;;;;x
skd_sanctified_bath_room_nomad_jewish_9;Sanctified Bath Room;;;;;x
skd_sanctified_bath_room_nomad_jewish_9_desc;A consecrated chamber, adorned with ritual vessels and scripture, reinforcing the clans devotion and purity in the eyes of all.;;;;;x
skd_israelite_mikveh_nomad_jewish_10;Israelite Mikveh;;;;;x
skd_israelite_mikveh_nomad_jewish_10_desc;A grand, flowing mikveh constructed to the highest standards of ritual law, drawing travelers and scholars to the clan for guidance.;;;;;x
