#Code;English;French;German;Spanish;Russian;x
sla_amber_gathering_stand;Amber Gathering Stand;;;;;x
sla_amber_gathering_stand_desc;A humble, makeshift stand of driftwood and hides where nomads gather raw Baltic amber from the shore, marking the first step in amber trade.;;;;;x
sla_sorting_hut;Sorting Hut;;;;;x
sla_sorting_hut_desc;A primitive hut of brush and turf where workers sort and grade amber pieces, increasing efficiency and yield.;;;;;x
sla_polishing_bench;Polishing Bench;;;;;x
sla_polishing_bench_desc;A sturdy wooden bench under a hide awning where skilled hands polish amber, making it ready for trade and craftsmanship.;;;;;x
sla_bead_stringers_tent;Bead Stringers Tent;;;;;x
sla_bead_stringers_tent_desc;A large felt tent where artisans shape and string amber beads, attracting traders and increasing population.;;;;;x
sla_amber_carvers_pavilion;Amber Carvers Pavilion;;;;;x
sla_amber_carvers_pavilion_desc;A robust pavilion with wooden supports and felt walls, housing skilled carvers and basic workshops for crafting ornamental amber goods.;;;;;x
sla_jewelry_hut;Jewelry Hut;;;;;x
sla_jewelry_hut_desc;A well-built hut of planks and stone, hosting renowned artisans who shape Baltic amber into precious jewelry, drawing merchants from afar.;;;;;x
sla_traders_hall;Traders Hall;;;;;x
sla_traders_hall_desc;A grand timber hall at the center of the camp, where amber traders and caravan leaders gather, boosting local commerce and supply.;;;;;x
sla_merchant_pavilion;Merchant Pavilion;;;;;x
sla_merchant_pavilion_desc;A grand multi-tent complex with raised platforms, where wealthy merchants from distant lands convene to negotiate amber deals, enhancing clan prosperity and unity.;;;;;x
sla_amber_guildhouse;Amber Guildhouse;;;;;x
sla_amber_guildhouse_desc;A fortified wooden guildhouse with storerooms, scriptoriums, and official weighing chambers, marking the rise of the Baltic amber trade as a major clan enterprise.;;;;;x
sla_baltic_amber_guild;Baltic Amber Guild;;;;;x
sla_baltic_amber_guild_desc;A legendary institution: vast timbered halls, secure vaults, and bustling markets, governing the entire flow of Baltic amber and drawing caravans from every horizon.;;;;;x
