#Code;English;French;German;Spanish;Russian;x
smk_wicker_idol_stand;Wicker Idol Stand;;;;;x
smk_wicker_idol_stand_desc;A humble altar of woven twigs and straw, marking the first sacred site for nomadic prayers and offerings to the spirits.;;;;;x
smk_ancestor_tree;Ancestor Tree;;;;;x
smk_ancestor_tree_desc;A sacred tree planted to honor the clans ancestors, where offerings and tokens are left to seek their guidance and favor.;;;;;x
smk_stone_circle;Stone Circle;;;;;x
smk_stone_circle_desc;An arrangement of standing stones used for rituals under the open sky, signifying a growing religious gathering place.;;;;;x
smk_spirit_clearing;Spirit Clearing;;;;;x
smk_spirit_clearing_desc;A well-kept sacred space in the wild, where shamans commune with spirits. Used for significant rituals and clan gatherings.;;;;;x
smk_priests_hut;Priests Hut;;;;;x
smk_priests_hut_desc;A permanent wooden structure for the chief shaman or priest, symbolizing organized spiritual leadership and continuity.;;;;;x
smk_sanctuary_pavilion;Sanctuary Pavilion;;;;;x
smk_sanctuary_pavilion_desc;A great tented structure for seasonal festivals, sheltering sacred relics and hosting large clan ceremonies.;;;;;x
smk_blessed_glade;Blessed Glade;;;;;x
smk_blessed_glade_desc;A grove imbued with ancient magic, cared for by the priesthood and revered by all clans for its perceived protection and luck.;;;;;x
smk_diviners_chamber;Diviners Chamber;;;;;x
smk_diviners_chamber_desc;A secluded, richly adorned lodge for the most trusted seers, where visions and omens guide the fate of the horde.;;;;;x
smk_holy_sanctuary;Holy Sanctuary;;;;;x
smk_holy_sanctuary_desc;A complex of wooden shrines, sacred fires, and ritual grounds, serving as the spiritual heart of the steppe clans.;;;;;x
smk_pagan_sacred_grove;Pagan Sacred Grove;;;;;x
smk_pagan_sacred_grove_desc;An expansive, ancient grove protected by stone monuments and attended by a council of priests, drawing pilgrims from across the steppes.;;;;;x
