#Code;English;French;German;Spanish;Russian;x
szg_khans_tent_1;Khans Tent;;;;;x
szg_khans_tent_1_desc;A simple felt tent, hastily pitched on the open steppe, serving as the Khans first seat of authority. Offers little more than shelter, but marks the heart of the clan.;;;;;x
no_baghatur_council_2;Clan Leaders Yurt;;;;;x
no_baghatur_council_2_desc;A sturdy yurt crafted for the clan leader, with space for council and minor treasures. More comfortable and secure than a simple tent.;;;;;x
szg_command_yurt_3;Command Yurt;;;;;x
szg_command_yurt_3_desc;A larger yurt, reinforced and organized for the Khans officers and strategists, filled with maps and campaign plans.;;;;;x
szg_banner_pavilion_4;Banner Pavilion;;;;;x
szg_banner_pavilion_4_desc;A resplendent pavilion adorned with the clans banners, serving as a rallying point for warriors and a symbol of unity for the horde.;;;;;x
szg_guarded_camp_5;Guarded Camp;;;;;x
szg_guarded_camp_5_desc;A well-fortified camp with watchfires and armed guards, deterring raiders and lending security to the Khans retinue.;;;;;x
szg_stewards_shelter_6;Stewards Shelter;;;;;x
szg_stewards_shelter_6_desc;A dedicated shelter for the clans stewards and administrators, enabling more efficient management of resources and supplies.;;;;;x
szg_high_council_tent_7;High Council Tent;;;;;x
szg_high_council_tent_7_desc;A vast and well-appointed tent, the seat of the Khans council, where strategies are devised and clan disputes are settled.;;;;;x
szg_chieftains_court_8;Chieftains Court;;;;;x
szg_chieftains_court_8_desc;A grand, semi-permanent court of felt, hide, and timber, where the Khan dispenses justice and hosts foreign dignitaries.;;;;;x
szg_royal_steppe_hall_9;Royal Steppe Hall;;;;;x
szg_royal_steppe_hall_9_desc;A sprawling, semi-permanent hall of decorated wood and felt, the heart of the hordes command, resplendent with art and trophies of conquest.;;;;;x
szg_grand_khans_encampment_10;Grand Khans Encampment;;;;;x
szg_grand_khans_encampment_10_desc;The ultimate seat of nomadic power: a fortified encampment with a vast hall, elaborate tents, and guarded pavilions, serving as the mobile palace for the Grand Khan and his retinue.;;;;;x
