#Code;English;French;German;Spanish;Russian;x
tda_finno_ugric_reed_mat;Reed Mat;;;;;x
tda_finno_ugric_reed_mat_desc;Simple woven mats of reeds, used as makeshift flooring and sleeping pads near the waters edge. They help establish a basic encampment for fishing families.;;;;;x
tda_finno_ugric_fish_net_stand;Fish Net Stand;;;;;x
tda_finno_ugric_fish_net_stand_desc;A sturdy wooden rack for drying and repairing fishing nets. Enables a larger catch and supports a growing band of fisherfolk.;;;;;x
tda_finno_ugric_riverside_tent;Riverside Tent;;;;;x
tda_finno_ugric_riverside_tent_desc;A cluster of hide tents pitched beside the river, providing shelter for extended families and storing basic fishing supplies.;;;;;x
tda_finno_ugric_boat_shelter;Boat Shelter;;;;;x
tda_finno_ugric_boat_shelter_desc;A primitive lean-to built from saplings and bark, protecting small riverboats and canoes from the elements and speeding up daily fishing routines.;;;;;x
tda_finno_ugric_fish_smokehouse;Fish Smokehouse;;;;;x
tda_finno_ugric_fish_smokehouse_desc;A timber-framed smokehouse for preserving large catches, providing secure food stores to support more warriors and families during long winters.;;;;;x
tda_finno_ugric_fish_drying_pavilion;Fish Drying Pavilion;;;;;x
tda_finno_ugric_fish_drying_pavilion_desc;A broad, covered pavilion with high racks for drying vast quantities of fish, enabling surplus storage and partial trade with neighboring clans.;;;;;x
tda_finno_ugric_hunters_lean_to;Hunters Lean-to;;;;;x
tda_finno_ugric_hunters_lean_to_desc;A riverside lean-to used by hunters and scouts, expanding the settlements reach and providing extra food and furs for the clan.;;;;;x
tda_finno_ugric_boathouse;Boathouse;;;;;x
tda_finno_ugric_boathouse_desc;A substantial wooden boathouse, sheltering many vessels and enabling river-based expeditions, trade, and rapid redeployment of warriors.;;;;;x
tda_finno_ugric_ice_fishing_house;Ice Fishing House;;;;;x
tda_finno_ugric_ice_fishing_house_desc;Insulated log huts built on frozen lakes, ensuring year-round food supplies and boosting clan resilience during harsh winters.;;;;;x
tda_finno_ugric_fisher_hall;Finno-Ugric Fisher Hall;;;;;x
tda_finno_ugric_fisher_hall_desc;A great timber hall at the waters edge, serving as the clans gathering place for feasts, council, and the organization of river expeditions. It cements the clans prosperity, unity, and dominance over the waterways.;;;;;x
