#Code;English;French;German;Spanish;Russian;x
thu_south_slavic_open_table;Open Table;;;;;x
thu_south_slavic_open_table_desc;A rough wooden table, set out on the steppe, where traders and clansfolk meet to barter livestock, grain, and wares.;;;;;x
thu_south_slavic_barter_patch;Barter Patch;;;;;x
thu_south_slavic_barter_patch_desc;A cleared patch of ground, marked by stones and banners, where local clans gather for lively barter and trade.;;;;;x
thu_south_slavic_traders_tent;Traders Tent;;;;;x
thu_south_slavic_traders_tent_desc;A large, colorful tent erected at the heart of the camp, where merchants display goods from distant lands and local craftsmen hawk their wares.;;;;;x
thu_south_slavic_merchants_pavilion;Merchants Pavilion;;;;;x
thu_south_slavic_merchants_pavilion_desc;A grander, more permanent fabric structure, with wooden supports and stalls, attracting traveling merchants and boosting local prosperity.;;;;;x
thu_south_slavic_market_stand;Market Stand;;;;;x
thu_south_slavic_market_stand_desc;A row of wooden stands and carts, with awnings and signs, forming the core of a bustling, semi-permanent trading ground.;;;;;x
thu_south_slavic_exchange_room;Exchange Room;;;;;x
thu_south_slavic_exchange_room_desc;A robust wooden hall with guarded doors, benches, and storage for goods—where deals are struck and trade is weighed and measured.;;;;;x
thu_south_slavic_market_hall;Market Hall;;;;;x
thu_south_slavic_market_hall_desc;A sturdy timber hall with designated sections for merchants, overseen by clan elders, facilitating large-scale deals and seasonal fairs.;;;;;x
thu_south_slavic_guild_pavilion;Guild Pavilion;;;;;x
thu_south_slavic_guild_pavilion_desc;A sprawling wooden and stone structure with storage, guild banners, and designated spaces for artisans, traders, and clan delegates.;;;;;x
thu_south_slavic_grand_market_room;Grand Market Room;;;;;x
thu_south_slavic_grand_market_room_desc;A grand domed hall, with stone foundations and timber beams, bustling with commerce, guarded by the clans finest, and known across the steppes.;;;;;x
thu_south_slavic_grand_market;South Slavic Grand Market;;;;;x
thu_south_slavic_grand_market_desc;A legendary market complex, built of stone and timber, ringed by fortified gates and storerooms, drawing caravans from distant lands and uniting the clans in prosperity.;;;;;x
