#Code;English;French;German;Spanish;Russian;x
thy_wild_olive_stand;Wild Olive Stand;;;;;x
thy_wild_olive_stand_desc;A patch of wild olive trees, lightly tended by the nomads, offering a meager but vital supply of fruit and wood. It marks the humble beginnings of olive cultivation in the clans new land.;;;;;x
thy_clay_press_hut;Clay Press Hut;;;;;x
thy_clay_press_hut_desc;A simple clay-walled hut shelters a rudimentary olive press, enabling the first production of oil for food and lamp-light. Clan members gather for the labor, fostering unity and shared purpose.;;;;;x
thy_stone_trough;Stone Trough;;;;;x
thy_stone_trough_desc;A more permanent stone trough greatly improves olive processing efficiency, increasing the yield and quality of oil while supporting a growing workforce.;;;;;x
thy_timber_press_pavilion;Timber Press Pavilion;;;;;x
thy_timber_press_pavilion_desc;A large timber-framed pavilion houses advanced wooden presses and workspace for many hands, allowing the clan to process olives at scale and attract more laborers and merchants.;;;;;x
thy_oil_storage_room;Oil Storage Room;;;;;x
thy_oil_storage_room_desc;A secure, cool stone room stores large quantities of olive oil. This building preserves the clans surplus, improves logistical supply, and facilitates trade with passing caravans.;;;;;x
thy_expanded_orchard;Expanded Orchard;;;;;x
thy_expanded_orchard_desc;A vast orchard of cultivated olive trees, maintained by a sizable workforce. The settlement becomes renowned for its oil, attracting migrants and boosting prosperity.;;;;;x
thy_merchants_olivehouse;Merchants Olivehouse;;;;;x
thy_merchants_olivehouse_desc;A grand olivehouse where merchants convene to buy, trade, and store premium oil. The clan profits from trade routes and attracts skilled laborers and traders.;;;;;x
thy_walled_grove;Walled Grove;;;;;x
thy_walled_grove_desc;A fortified olive grove protected by stone walls, employing guards and laborers. The security enables uninterrupted growth, attracts further settlers, and projects the clans prestige.;;;;;x
thy_oil_market_pavilion;Oil Market Pavilion;;;;;x
thy_oil_market_pavilion_desc;A bustling market complex where olive oil is sold throughout the region, attracting distant traders and enriching the nomadic clans coffers.;;;;;x
thy_israelite_olive_estate;Israelite Olive Estate;;;;;x
thy_israelite_olive_estate_desc;A legendary estate renowned throughout the Near East, uniting orchards, presses, markets, and secure storage, and serving as a symbol of the clans unity and prosperity.;;;;;x
