#Code;English;French;German;Spanish;Russian;x
uaz_rough_paddock;Rough Paddock;;;;;x
uaz_rough_paddock_desc;A hastily fenced enclosure, marked by simple stakes and rope, where the first cattle are corralled after a long journey. Offers a modest boost to herd organization and early population growth.;;;;;x
uaz_cattle_byre;Cattle Byre;;;;;x
uaz_cattle_byre_desc;A simple, roofed shelter of wood and hides that protects cattle from harsh weather, reducing livestock losses. Slightly increases population and supply limit for the horde.;;;;;x
uaz_simple_stockade;Simple Stockade;;;;;x
uaz_simple_stockade_desc;A sturdy wooden fence and shallow ditch protect the herd from thieves and wild beasts, allowing for more confident expansion of the cattle camp and its population.;;;;;x
uaz_grazing_range;Grazing Range;;;;;x
uaz_grazing_range_desc;A large, managed expanse with rotating pastures, minimizing overgrazing and improving herd health. Population and manpower capacity rise as the herds flourish.;;;;;x
uaz_skilled_herdsman_post;Skilled Herdsmans Post;;;;;x
uaz_skilled_herdsman_post_desc;A permanent post for skilled herdsmen, featuring watchtowers and rudimentary livestock clinics. Efficient management allows for a sharp increase in horde manpower and population.;;;;;x
uaz_branded_herd;Branded Herd;;;;;x
uaz_branded_herd_desc;The entire herd is marked with the clans brand, greatly reducing losses and theft. Herdsmen coordinate livestock movements with precision, enhancing both manpower and movement speed.;;;;;x
uaz_cattle_breeding_enclosure;Cattle Breeding Enclosure;;;;;x
uaz_cattle_breeding_enclosure_desc;Purpose-built pens for selective breeding, offering strong, healthy livestock and greatly increased population. Specialized care and security make this a major investment.;;;;;x
uaz_butchers_corral;Butchers Corral;;;;;x
uaz_butchers_corral_desc;Large, well-guarded corrals and slaughtering pens, allowing for efficient processing and trade of cattle. The wealth and manpower generated support a formidable horde.;;;;;x
uaz_fatstock_yard;Fatstock Yard;;;;;x
uaz_fatstock_yard_desc;A vast and heavily guarded yard for the largest and healthiest cattle, with expert handlers and traders. The yard greatly expands population, manpower, and tax income, supporting the mightiest nomadic horde.;;;;;x
uaz_grand_steppe_stockade;Grand Nomad Stockade;;;;;x
uaz_grand_steppe_stockade_desc;A monumental defensive enclosure of earth, timber, and stone, watched over by seasoned herdsmen and guards. The ultimate symbol of power and wealth, this stockade secures unmatched population and manpower for the clan.;;;;;x
