#Code;English;French;German;Spanish;Russian;x
uoa_peddlers_blanket_nomad_guild_market;Peddlers Blanket;;;;;x
uoa_peddlers_blanket_nomad_guild_market_desc;A simple blanket spread upon the earth, where itinerant traders begin to hawk their wares to the clan. The first seeds of commerce take root.;;;;;x
uoa_open_market_stand_nomad_guild_market;Open Market Stand;;;;;x
uoa_open_market_stand_nomad_guild_market_desc;A collection of crude wooden stands and awnings, giving structure to the bustling nomad market and attracting more traders to the camp.;;;;;x
uoa_barter_table_nomad_guild_market;Barter Table;;;;;x
uoa_barter_table_nomad_guild_market_desc;Rough-hewn tables with awnings, where haggling and barter replace crude trade. A step toward permanent commerce in the heart of the steppe.;;;;;x
uoa_artisan_stall_nomad_guild_market;Artisan Stall;;;;;x
uoa_artisan_stall_nomad_guild_market_desc;Dedicated stalls for skilled artisans and craftsmen, lending prestige and permanence to the nomadic market.;;;;;x
uoa_merchant_tent_nomad_guild_market;Merchant Tent;;;;;x
uoa_merchant_tent_nomad_guild_market_desc;Large canvas tents house established merchants, storing rare wares and fostering trade networks that reach distant clans.;;;;;x
uoa_guild_market_tent_nomad_guild_market;Guild Market Tent;;;;;x
uoa_guild_market_tent_nomad_guild_market_desc;A grand tented pavilion where guilds oversee trade, regulate quality, and safeguard commerce among the nomadic clans.;;;;;x
uoa_traders_square_nomad_guild_market;Traders’ Square;;;;;x
uoa_traders_square_nomad_guild_market_desc;The heart of the market transformed into a bustling square, with semi-permanent stalls and a fixed layout for traders and buyers alike.;;;;;x
uoa_guild_exchange_nomad_guild_market;Guild Exchange;;;;;x
uoa_guild_exchange_nomad_guild_market_desc;A thriving hub where merchants and guilds set trade agreements, currency exchanges, and ensure fair dealings across the steppe.;;;;;x
uoa_master_merchant_pavilion_nomad_guild_market;Master Merchant Pavilion;;;;;x
uoa_master_merchant_pavilion_nomad_guild_market_desc;An imposing tented complex reserved for master merchants and guild leaders, centralizing trade, arbitration, and clan commerce.;;;;;x
uoa_grand_guild_market_nomad_guild_market;Grand Guild Market;;;;;x
uoa_grand_guild_market_nomad_guild_market_desc;A permanent, renowned market complex with stone foundations and timber pavilions, drawing merchants from all corners of the world and making the clan a center of nomadic commerce.;;;;;x
