#Code;English;French;German;Spanish;Russian;x
utj_wild_olive_stand_ib_olive;Wild Olive Stand;;;;;x
utj_wild_olive_stand_ib_olive_desc;A patch of hardy, ancient olive trees growing untamed, providing a meager yet vital first resource for new arrivals.;;;;;x
utj_cleared_orchard_ib_olive;Cleared Orchard;;;;;x
utj_cleared_orchard_ib_olive_desc;Land cleared and roughly fenced, with wild olives pruned and new saplings planted for steady cultivation.;;;;;x
utj_young_grove_ib_olive;Young Grove;;;;;x
utj_young_grove_ib_olive_desc;A tidy grove of young, carefully tended olive trees, tended by nomad hands for greater yields.;;;;;x
utj_stone_press_shelter_ib_olive;Stone Press Shelter;;;;;x
utj_stone_press_shelter_ib_olive_desc;A crude stone structure housing simple presses, allowing small-scale olive oil production from the yearly harvest.;;;;;x
utj_cured_oil_hut_ib_olive;Cured Oil Hut;;;;;x
utj_cured_oil_hut_ib_olive_desc;Small huts for curing and storing olive oil, increasing the value and longevity of the precious resource.;;;;;x
utj_expanded_orchard_ib_olive;Expanded Orchard;;;;;x
utj_expanded_orchard_ib_olive_desc;A much larger and better organized olive orchard, with irrigation and seasonal labor, yielding a steady surplus.;;;;;x
utj_walled_grove_ib_olive;Walled Grove;;;;;x
utj_walled_grove_ib_olive_desc;Stone walls protect the olive groves and workers, securing the investment and deterring raids or thefts.;;;;;x
utj_olive_press_house_ib_olive;Olive Press House;;;;;x
utj_olive_press_house_ib_olive_desc;A substantial stone building with advanced presses, producing high-quality oil for trade and clan use.;;;;;x
utj_trade_oil_pavilion_ib_olive;Trade Oil Pavilion;;;;;x
utj_trade_oil_pavilion_ib_olive_desc;A grand tented market and storehouse, where oil is bought, sold, and traded by caravans and visiting merchants.;;;;;x
utj_iberian_olive_estate_ib_olive;Iberian Olive Estate;;;;;x
utj_iberian_olive_estate_ib_olive_desc;A sprawling, fortified estate encompassing groves, presses, storage, and a bustling market, the heart of olive wealth in the clans lands.;;;;;x
