#Code;English;French;German;Spanish;Russian;x
uvf_spindle_patch;Spindle Patch;;;;;x
uvf_spindle_patch_desc;A rough clearing set aside for nomads to gather and spin raw fibers into thread, vital for clothing and repairs.;;;;;x
uvf_weavers_tent;Weavers Tent;;;;;x
uvf_weavers_tent_desc;A sturdy, portable tent where skilled clan members weave simple fabrics, improving population comfort and supply.;;;;;x
uvf_loom_hut;Loom Hut;;;;;x
uvf_loom_hut_desc;A semi-permanent hut for larger looms, enabling more complex textiles and increasing the clans ability to support a growing horde.;;;;;x
uvf_dye_pavilion;Dye Pavilion;;;;;x
uvf_dye_pavilion_desc;A canopy dedicated to dyeing fabrics with local plants and minerals, producing distinctive clan colors and attracting skilled weavers.;;;;;x
uvf_patterned_room;Patterned Room;;;;;x
uvf_patterned_room_desc;A decorated, semi-permanent structure for weaving intricate patterns, symbolizing clan prestige and improving unity.;;;;;x
uvf_textile_chamber;Textile Chamber;;;;;x
uvf_textile_chamber_desc;A large, impressive hall where master weavers oversee the production of fine textiles, drawing traders and boosting population capacity.;;;;;x
uvf_market_weaver_hall;Market Weaver Hall;;;;;x
uvf_market_weaver_hall_desc;A bustling hub where textiles are bartered, attracting merchants and increasing the clans wealth and supply.;;;;;x
uvf_guild_pavilion;Guild Pavilion;;;;;x
uvf_guild_pavilion_desc;A grand tent where the most skilled weavers form a guild, training apprentices and boosting both manpower and clan prestige.;;;;;x
uvf_master_weavers_room;Master Weavers Room;;;;;x
uvf_master_weavers_room_desc;An ornate, semi-permanent chamber for the master of the weaving guild, symbolizing clan unity and attracting the finest artisans.;;;;;x
uvf_east_african_weaving_guild;East African Weaving Guild;;;;;x
uvf_east_african_weaving_guild_desc;A legendary weaving complex, famed throughout the region, bringing immense prosperity, unity, and renown to the clan.;;;;;x
