#Code;English;French;German;Spanish;Russian;x
uwe_altaic_rope_corral;Rope Corral;;;;;x
uwe_altaic_rope_corral_desc;A makeshift horse enclosure of rope and turf, hastily erected on the steppe to keep the herd together and safe from predators.;;;;;x
uwe_altaic_breeders_hut;Breeders Hut;;;;;x
uwe_altaic_breeders_hut_desc;A small yurt or hut where experienced breeders tend to foaling mares and select bloodlines, raising the quality of the herd.;;;;;x
uwe_altaic_foal_pen;Foal Pen;;;;;x
uwe_altaic_foal_pen_desc;A sturdy enclosure for young foals, protected from the elements and predators, ensuring better survival and growth rates.;;;;;x
uwe_altaic_stallion_stand;Stallion Stand;;;;;x
uwe_altaic_stallion_stand_desc;A dedicated stand and paddock for prized stallions, guarded and maintained by trusted herdsmen, providing stronger and faster offspring.;;;;;x
uwe_altaic_mares_pavilion;Mares Pavilion;;;;;x
uwe_altaic_mares_pavilion_desc;A large felt pavilion dedicated to the care and breeding of the clans best mares, fostering increased herd fertility and unity.;;;;;x
uwe_altaic_horse_trainers_room;Horse Trainers Room;;;;;x
uwe_altaic_horse_trainers_room_desc;A specialized yurt for elite horse trainers to teach advanced riding and herd management, increasing the speed and discipline of the nomadic horde.;;;;;x
uwe_altaic_champion_stable;Champion Stable;;;;;x
uwe_altaic_champion_stable_desc;A fortified stable complex for the hordes champion horses, guarded round the clock, breeding the clans most legendary mounts.;;;;;x
uwe_altaic_steppe_stud_hall;Steppe Stud Hall;;;;;x
uwe_altaic_steppe_stud_hall_desc;A grand wooden hall at the heart of the encampment, where the finest stallions and mares are paired, and horsemen gather to plan future raids.;;;;;x
uwe_altaic_grand_herd_pavilion;Grand Herd Pavilion;;;;;x
uwe_altaic_grand_herd_pavilion_desc;A massive felt and timber structure, home to the legendary herds of the Altaic clans, where trade, feasts, and the selection of warhorses take place.;;;;;x
uwe_altaic_horse_stud;Altaic Horse Stud;;;;;x
uwe_altaic_horse_stud_desc;The pinnacle of Altaic horse breeding: a legendary stud complex, forging the fastest and strongest horses known to the steppe, symbol of unrivaled prestige.;;;;;x
