#Code;English;French;German;Spanish;Russian;x
uwx_christian_chapel_prayer_alcove;Prayer Alcove;;;;;x
uwx_prayer_alcove_desc;A humble, makeshift shelter for Christian prayer, marked by a simple cross and offering a quiet corner for spiritual reflection among the nomads.;;;;;x
uwx_christian_chapel_stone_shrine;Stone Shrine;;;;;x
uwx_stone_shrine_desc;A sturdier place of worship constructed from gathered stones, providing a communal focus for Christian devotion and gatherings.;;;;;x
uwx_christian_chapel_basilica_chamber;Basilica Chamber;;;;;x
uwx_basilica_chamber_desc;A wooden-walled tent with icons and relics, modeled after the basilicas of the west, capable of holding larger congregations and fostering greater unity.;;;;;x
uwx_christian_chapel_worship_hall;Worship Hall;;;;;x
uwx_worship_hall_desc;A substantial, tented hall adorned with Christian banners, allowing for organized worship, rites, and the fostering of unity among the faithful.;;;;;x
uwx_christian_chapel_saints_niche;Saints Niche;;;;;x
uwx_saints_niche_desc;A dedicated alcove for icons or relics of saints, increasing the prestige of the clan and deepening communal reverence.;;;;;x
uwx_christian_chapel_apsidal_chapel;Apsidal Chapel;;;;;x
uwx_apsidal_chapel_desc;A semi-permanent wooden chapel with a rounded apse, boasting more elaborate Christian iconography and fostering strong clan unity.;;;;;x
uwx_christian_chapel_canopied_altar;Canopied Altar;;;;;x
uwx_canopied_altar_desc;A grand altar set beneath a decorated canopy, with relics and lamps, serving as a spiritual heart for the nomadic faithful.;;;;;x
uwx_christian_chapel_bishops_sanctuary;Bishops Sanctuary;;;;;x
uwx_bishops_sanctuary_desc;A well-established and lavish tented sanctuary, hosting a bishop or learned priest, providing guidance and spiritual authority for the entire clan.;;;;;x
uwx_christian_chapel_holy_reliquary_room;Holy Reliquary Room;;;;;x
uwx_holy_reliquary_room_desc;A secure, ornate chamber for housing relics and holy artifacts, drawing pilgrims and cementing the clans spiritual reputation.;;;;;x
uwx_christian_chapel_grand_christian_chapel;Grand Christian Chapel;;;;;x
uwx_grand_christian_chapel_desc;A majestic, semi-permanent chapel built of timber and stone, richly decorated and renowned among the steppes, serving as the spiritual heart of the nomadic Christian realm.;;;;;x
