#Code;English;French;German;Spanish;Russian;x
vsw_wild_olive_stand;Wild Olive Stand;;;;;x
vsw_wild_olive_stand_desc;A cluster of wild olive trees maintained by nomads, providing a basic source of olives and shade for the camp. Useful for subsistence and modest clan gatherings.;;;;;x
vsw_clay_press_hut;Clay Press Hut;;;;;x
vsw_clay_press_hut_desc;A simple clay hut sheltering a primitive olive press. Allows for basic oil extraction and supports a slightly larger nomadic population.;;;;;x
vsw_stone_trough;Stone Trough;;;;;x
vsw_stone_trough_desc;A sturdy stone trough improves oil extraction, increasing yields and providing for the clans needs. Also allows for trade of surplus oil.;;;;;x
vsw_timber_press_pavilion;Timber Press Pavilion;;;;;x
vsw_timber_press_pavilion_desc;A wooden pavilion housing more advanced presses, enabling substantial olive oil production and increased clan prosperity.;;;;;x
vsw_oil_storage_room;Oil Storage Room;;;;;x
vsw_oil_storage_room_desc;A secure, stone-built storage chamber preserves olive oil for trade, ritual, and sustenance, greatly enhancing clan unity and reputation.;;;;;x
vsw_expanded_orchard;Expanded Orchard;;;;;x
vsw_expanded_orchard_desc;Cultivated olive groves stretch across the land, yielding abundant oil, making the clan a center of prosperity and regional influence.;;;;;x
vsw_merchants_olivehouse;Merchants Olivehouse;;;;;x
vsw_merchants_olivehouse_desc;A dedicated merchants olivehouse serves as a hub for trade caravans, boosting clan prestige and ties with foreign traders.;;;;;x
vsw_walled_grove;Walled Grove;;;;;x
vsw_walled_grove_desc;A fortified olive grove, its walls safeguarding valuable resources and ensuring the clans continued prosperity and security.;;;;;x
vsw_oil_market_pavilion;Oil Market Pavilion;;;;;x
vsw_oil_market_pavilion_desc;A grand pavilion for the oil market draws traders from afar, cementing the clans role as a regional power and center of unity.;;;;;x
vsw_jewish_olive_estate;Jewish Olive Estate;;;;;x
vsw_jewish_olive_estate_desc;A sprawling, renowned Jewish olive estate with extensive groves, advanced presses, storerooms, and market halls, famed throughout the region for both piety and prosperity.;;;;;x
