#Code;English;French;German;Spanish;Russian;x
vwd_spindle_patch;Spindle Patch;;;;;x
vwd_spindle_patch_desc;A modest array of simple spindles and baskets, where nomadic weavers gather raw fibers and begin the first steps of textile production.;;;;;x
vwd_weavers_tent;Weavers Tent;;;;;x
vwd_weavers_tent_desc;A larger, communal tent where skilled hands gather to spin, weave, and share techniques, fostering a sense of unity and shared craft.;;;;;x
vwd_loom_hut;Loom Hut;;;;;x
vwd_loom_hut_desc;A sturdy, thatched hut sheltering several looms, enabling the production of more complex textiles and increasing the communitys output.;;;;;x
vwd_dye_pavilion;Dye Pavilion;;;;;x
vwd_dye_pavilion_desc;A semi-permanent pavilion dedicated to dyeing fabrics, using local plants and minerals to produce vibrant cloth, attracting traders and boosting morale.;;;;;x
vwd_patterned_room;Patterned Room;;;;;x
vwd_patterned_room_desc;A specialized enclosure where master artisans create intricate, symbolic patterns, lifting clan prestige and inspiring the people.;;;;;x
vwd_textile_chamber;Textile Chamber;;;;;x
vwd_textile_chamber_desc;A fortified chamber, blending traditional craft with new techniques, producing textiles of such quality that they become treasured trade goods across the savanna.;;;;;x
vwd_market_weaver_hall;Market Weaver Hall;;;;;x
vwd_market_weaver_hall_desc;A bustling hall where textiles are traded, and weavers barter with merchants from distant lands, further strengthening the clans economy and renown.;;;;;x
vwd_guild_pavilion;Guild Pavilion;;;;;x
vwd_guild_pavilion_desc;A grand pavilion, seat of the weavers’ guild, where masters oversee training and production, ensuring the clans textile legacy will persist for generations.;;;;;x
vwd_master_weavers_room;Master Weavers Room;;;;;x
vwd_master_weavers_room_desc;A lavish chamber reserved for the most skilled weavers, where the clans finest fabrics are woven and where traditions are codified for all to follow.;;;;;x
vwd_west_african_weaving_guild;West African Weaving Guild;;;;;x
vwd_west_african_weaving_guild_desc;The pinnacle of nomadic textile mastery: a revered institution that draws artisans and traders from across the Sahel, bolstering prosperity, unity, and the clans enduring prestige.;;;;;x
