#Code;English;French;German;Spanish;Russian;x
wbg_wild_cocoa_stand;Wild Cocoa Stand;;;;;x
wbg_wild_cocoa_stand_desc;A primitive, makeshift shelter where wild cocoa pods are gathered and basic processing begins. The first step in settling a cocoa-rich region.;;;;;x
wbg_planted_grove;Planted Grove;;;;;x
wbg_planted_grove_desc;A grove where cocoa saplings are planted in neat rows, allowing for steady cultivation and more predictable harvests.;;;;;x
wbg_fenced_orchard;Fenced Orchard;;;;;x
wbg_fenced_orchard_desc;A guarded orchard with simple wooden fences to protect young cocoa trees from wild animals and theft, improving yields and security.;;;;;x
wbg_fermentation_hut;Fermentation Hut;;;;;x
wbg_fermentation_hut_desc;A specialized hut for fermenting cocoa beans, producing higher-quality cocoa and providing a minor prestige boost for the clan.;;;;;x
wbg_expanded_grove;Expanded Grove;;;;;x
wbg_expanded_grove_desc;A greatly enlarged cocoa grove, with improved irrigation and dedicated labor, supporting a much larger population and workforce.;;;;;x
wbg_walled_orchard;Walled Orchard;;;;;x
wbg_walled_orchard_desc;A fortified orchard surrounded by sturdy walls, with watch posts and organized labor, ensuring both security and efficient production.;;;;;x
wbg_cocoa_market_pavilion;Cocoa Market Pavilion;;;;;x
wbg_cocoa_market_pavilion_desc;A bustling market center devoted to cocoa trade, drawing merchants and boosting the local economy and supply capabilities for the horde.;;;;;x
wbg_syrup_hall;Syrup Hall;;;;;x
wbg_syrup_hall_desc;A grand hall for the processing and storage of rich cocoa syrup, providing not only economic wealth but also enhancing clan unity and prestige.;;;;;x
wbg_merchants_grove;Merchants Grove;;;;;x
wbg_merchants_grove_desc;A prestigious district where the cocoa trade is managed by experienced merchants, drawing traders from distant lands and boosting the realms influence and mobility.;;;;;x
wbg_mesoamerican_cocoa_estate;Mesoamerican Cocoa Estate;;;;;x
wbg_mesoamerican_cocoa_estate_desc;A vast, legendary estate dedicated to cocoa, with fortified storage, skilled labor, and a vibrant trading hub rivaling any in Mesoamerica. The pride of the clan, and a symbol of power and prosperity.;;;;;x
