#Code;English;French;German;Spanish;Russian;x
web_magyar_reed_mat;Reed Mat;;;;;x
web_magyar_reed_mat_desc;Simple mats of woven reeds, laid on bare ground, serve as sleeping pads and workspaces for the first arrivals.;;;;;x
web_magyar_woven_shelter;Woven Shelter;;;;;x
web_magyar_woven_shelter_desc;Temporary shelters of woven reeds and branches shield families from the elements and foster clan unity.;;;;;x
web_magyar_wattle_hut;Wattle Hut;;;;;x
web_magyar_wattle_hut_desc;Wattle and daub huts offer sturdier shelter, allowing for modest stores and the beginnings of a stable camp.;;;;;x
web_magyar_thatched_pavilion;Thatched Pavilion;;;;;x
web_magyar_thatched_pavilion_desc;Large, communal pavilions with thatched roofs serve as gathering points for the clan, fostering unity and managing supplies.;;;;;x
web_magyar_mudbrick_room;Mudbrick Room;;;;;x
web_magyar_mudbrick_room_desc;The first semi-permanent mudbrick structures provide shelter from harsh weather and enable year-round occupation.;;;;;x
web_magyar_fenced_yard;Fenced Yard;;;;;x
web_magyar_fenced_yard_desc;Wooden palisades define the clans space, protecting livestock and supplies, and allowing for efficient organization.;;;;;x
web_magyar_family_hall;Family Hall;;;;;x
web_magyar_family_hall_desc;A large wooden hall at the center hosts feasts, clan councils, and strengthens the bonds within the tribe.;;;;;x
web_magyar_village_chamber;Village Chamber;;;;;x
web_magyar_village_chamber_desc;Multiple halls and chambers support the bustling life of a permanent Magyar settlement, boosting population and unity.;;;;;x
web_magyar_chiefs_pavilion;Chiefs Pavilion;;;;;x
web_magyar_chiefs_pavilion_desc;A grand, bedecked pavilion houses the chief and his retinue, symbolizing Magyar leadership and inspiring the clan.;;;;;x
web_magyar_grand_hall;Magyar Grand Hall;;;;;x
web_magyar_grand_hall_desc;A vast, majestic hall of wood, earth, and stone, seat of the Magyar khan and heart of the nation, radiating unity and strength.;;;;;x
