#Code;English;French;German;Spanish;Russian;x
wnj_rope_pen;Rope Pen;;;;;x
wnj_rope_pen_desc;A crude enclosure of ropes and stakes, hastily assembled to corral newly captured slaves until a more permanent solution can be constructed.;;;;;x
wnj_wicker_stockade;Wicker Stockade;;;;;x
wnj_wicker_stockade_desc;A basic fence of woven branches and sharpened stakes, offering a modest improvement in security and capacity for slave containment.;;;;;x
wnj_guarded_enclosure;Guarded Enclosure;;;;;x
wnj_guarded_enclosure_desc;A more secure compound of wooden palisades and vigilant guards, reducing escapes and allowing for the management of a larger labor force.;;;;;x
wnj_work_hut;Work Hut;;;;;x
wnj_work_hut_desc;A cluster of covered work areas and primitive workshops, enabling the assignment of slaves to basic labor and crafts.;;;;;x
wnj_chain_yard;Chain Yard;;;;;x
wnj_chain_yard_desc;A reinforced holding area with iron chains, manacles, and watchtowers, providing security for a growing slave population and maximizing efficiency through fear and order.;;;;;x
wnj_drivers_pavilion;Drivers Pavilion;;;;;x
wnj_drivers_pavilion_desc;A semi-permanent structure for slave drivers and overseers, equipped with offices, holding pens, and tools of discipline. Acts as the nerve center for organizing slave labor and transportation.;;;;;x
wnj_slave_market;Slave Market;;;;;x
wnj_slave_market_desc;A bustling marketplace where slaves are bought and sold to the highest bidder. Infrastructure includes auction blocks, pens, and basic administration.;;;;;x
wnj_overseers_hall;Overseers Hall;;;;;x
wnj_overseers_hall_desc;A grand hall for the chief overseer and their staff, with records, guard barracks, and secure vaults for handling the trade and distribution of slaves across the steppe.;;;;;x
wnj_slave_barracks;Slave Barracks;;;;;x
wnj_slave_barracks_desc;A fortified living complex for housing large numbers of slaves, with separate quarters for skilled laborers, guards, and staff. Maximizes capacity and reduces unrest.;;;;;x
wnj_nomad_slave_market;Nomad Slave Market;;;;;x
wnj_nomad_slave_market_desc;A sprawling, semi-permanent bazaar at the heart of the steppe, where slaves from distant lands are traded in bulk. Includes advanced logistics, caravan facilities, and elite guards to ensure the security and profitability of the entire slave operation.;;;;;x
