#Code;English;French;German;Spanish;Russian;x
wrh_altaic_wooden_bow_stand;Wooden Bow Stand;;;;;x
wrh_altaic_wooden_bow_stand_desc;A simple, mobile rack for storing and maintaining bows, used by nomads newly arrived upon the steppe.;;;;;x
wrh_altaic_bow_carvers_hut;Bow Carvers Hut;;;;;x
wrh_altaic_bow_carvers_hut_desc;A modest tent or hut where skilled artisans shape and repair bows for the hordes warriors.;;;;;x
wrh_altaic_arrowmakers_bench;Arrowmakers Bench;;;;;x
wrh_altaic_arrowmakers_bench_desc;A dedicated workspace for fletchers, improving the quality and quantity of arrows for Altaic archers.;;;;;x
wrh_altaic_composite_bow_pavilion;Composite Bow Pavilion;;;;;x
wrh_altaic_composite_bow_pavilion_desc;A large, reinforced tent where advanced composite bows are crafted, granting the horde superior firepower.;;;;;x
wrh_altaic_fine_bow_workshop;Fine Bow Workshop;;;;;x
wrh_altaic_fine_bow_workshop_desc;A permanent, expertly outfitted workshop for producing the finest bows, attracting renowned bowyers and increasing the hordes military prestige.;;;;;x
wrh_altaic_fletchers_room;Fletchers Room;;;;;x
wrh_altaic_fletchers_room_desc;A specialized chamber for master fletchers, producing superior arrows and boosting the firepower and morale of Altaic archers.;;;;;x
wrh_altaic_master_bowyers_chamber;Master Bowyers Chamber;;;;;x
wrh_altaic_master_bowyers_chamber_desc;A grand chamber for the most skilled bowyers, producing legendary bows and ensuring the hordes archers are second to none.;;;;;x
wrh_altaic_bow_guild_hall;Bow Guild Hall;;;;;x
wrh_altaic_bow_guild_hall_desc;A prestigious hall uniting bowyers and fletchers, enhancing Altaic unity, archery prowess, and resourcefulness.;;;;;x
wrh_altaic_champions_armory;Champions Armory;;;;;x
wrh_altaic_champions_armory_desc;An elite armory supplying the Altaic hordes champions with the finest bows and equipment, greatly empowering their forces.;;;;;x
wrh_altaic_bowyer_guild;Altaic Bowyer Guild;;;;;x
wrh_altaic_bowyer_guild_desc;The legendary guild uniting the greatest Altaic bowyers, fletchers, and champions; a symbol of national pride and unmatched archery might.;;;;;x
