#Code;English;French;German;Spanish;Russian;x
wzu_west_slavic_stone_marker;Stone Marker;;;;;x
wzu_west_slavic_stone_marker_desc;A simple, uncarved standing stone marks the sacred place where the tribe gathers for rituals and guidance.;;;;;x
wzu_west_slavic_wicker_idol;Wicker Idol;;;;;x
wzu_west_slavic_wicker_idol_desc;A roughly woven idol of branches and straw, placed beside the stone marker, serves as a focus for seasonal rites and offerings.;;;;;x
wzu_west_slavic_ancestors_patch;Ancestors Patch;;;;;x
wzu_west_slavic_ancestors_patch_desc;A sacred clearing set aside for remembrance of ancestors, decorated with simple totems and earth mounds.;;;;;x
wzu_west_slavic_spirit_stand;Spirit Stand;;;;;x
wzu_west_slavic_spirit_stand_desc;A wooden scaffold to hang charms and offerings for the spirits, with painted shields and prayer ribbons.;;;;;x
wzu_west_slavic_priests_shelter;Priests Shelter;;;;;x
wzu_west_slavic_priests_shelter_desc;A tented space for the volkhv (priest) and his apprentices, storing ritual tools and sacred relics.;;;;;x
wzu_west_slavic_sacred_pavilion;Sacred Pavilion;;;;;x
wzu_west_slavic_sacred_pavilion_desc;A large, decorated tent pavilion where the community gathers for great festivals and the priest leads communal rites.;;;;;x
wzu_west_slavic_diviners_room;Diviners Room;;;;;x
wzu_west_slavic_diviners_room_desc;A wooden structure for the clans diviner, filled with runes, bones, and ritual implements for seeking omens and wisdom.;;;;;x
wzu_west_slavic_blessed_hall;Blessed Hall;;;;;x
wzu_west_slavic_blessed_hall_desc;A sturdy timber hall built for sacred feasts and assemblies, adorned with carved icons and blessed by the volkhv.;;;;;x
wzu_west_slavic_sanctuary_circle;Sanctuary Circle;;;;;x
wzu_west_slavic_sanctuary_circle_desc;A great ring of standing stones and carved logs, encircling the heart of the shrine and guarded by the clans chosen defenders.;;;;;x
wzu_west_slavic_shrine;West Slavic Shrine;;;;;x
wzu_west_slavic_shrine_desc;A magnificent sanctuary of wood and stone, with sacred fires, relics, and a council of priests guiding the clans spirit and unity.;;;;;x
