#Code;English;French;German;Spanish;Russian;x
xah_altaic_sapling_stand;Sapling Stand;;;;;x
xah_altaic_sapling_stand_desc;A humble, newly planted grove of saplings, tended by the clan as the seed of future tradition. Marks the beginning of a sacred gathering place.;;;;;x
xah_altaic_ancestor_marker;Ancestor Marker;;;;;x
xah_altaic_ancestor_marker_desc;Simple carved wooden posts commemorating the tribes ancestors, fostering unity and respect for the past.;;;;;x
xah_altaic_prayer_tree;Prayer Tree;;;;;x
xah_altaic_prayer_tree_desc;A venerable tree adorned with cloth strips and offerings, where the clan gathers to seek blessings and guidance from the spirits.;;;;;x
xah_altaic_spirit_shelter;Spirit Shelter;;;;;x
xah_altaic_spirit_shelter_desc;A wooden shelter built to house sacred effigies and protect offerings to the spirits, forming the center of tribal ceremonies.;;;;;x
xah_altaic_idol_pavilion;Idol Pavilion;;;;;x
xah_altaic_idol_pavilion_desc;A sturdier, decorated tent or wooden pavilion, housing clan idols and providing a site for formal religious rites and assemblies.;;;;;x
xah_altaic_holy_grove;Holy Grove;;;;;x
xah_altaic_holy_grove_desc;A carefully preserved grove of ancient trees, ringed with ritual stones, attracting pilgrims and serving as a sacred heart of the clans faith.;;;;;x
xah_altaic_priests_hut;Priests Hut;;;;;x
xah_altaic_priests_hut_desc;A well-built hut for the clans shaman or priest, who oversees rituals, offers counsel, and maintains the sacred grounds.;;;;;x
xah_altaic_diviners_hall;Diviners Hall;;;;;x
xah_altaic_diviners_hall_desc;A large yurt or timber lodge for diviners and elders, a center for sacred knowledge and the interpretation of omens.;;;;;x
xah_altaic_sacred_canopy;Sacred Canopy;;;;;x
xah_altaic_sacred_canopy_desc;A majestic, semi-permanent structure built of beams and draped felt, sheltering the sacred tree and all who gather beneath it for great clan festivals.;;;;;x
xah_altaic_tree_sanctuary;Altaic Tree Sanctuary;;;;;x
xah_altaic_tree_sanctuary_desc;An awe-inspiring sanctuary of carved pillars and roofed walkways encircling the ancient sacred tree, famed among all the steppe peoples. The ultimate center of Altaic faith and unity.;;;;;x
