#Code;English;French;German;Spanish;Russian;x
xda_scroll_stand;Scroll Stand;;;;;x
xda_scroll_stand_desc;A simple wooden stand for scrolls, serving as the first foundation for learning and administration in the clan.;;;;;x
xda_scribes_desk;Scribes Desk;;;;;x
xda_scribes_desk_desc;A small workspace for a scribe, allowing the recording of vital clan matters and improving organization.;;;;;x
xda_reading_pavilion;Reading Pavilion;;;;;x
xda_reading_pavilion_desc;A sturdy tented area for study, where elders and youth gather to read, debate, and learn together.;;;;;x
xda_copyists_room;Copyists Room;;;;;x
xda_copyists_room_desc;A dedicated shelter for several copyists, producing records, contracts, and teaching materials for the clan.;;;;;x
xda_book_nook;Book Nook;;;;;x
xda_book_nook_desc;A well-built, portable shelter filled with precious books and scrolls, encouraging literacy among the clan.;;;;;x
xda_manuscript_hall;Manuscript Hall;;;;;x
xda_manuscript_hall_desc;A grand tented hall for storing and producing manuscripts, attracting wise men and teachers from afar.;;;;;x
xda_archive_chamber;Archive Chamber;;;;;x
xda_archive_chamber_desc;A fortified, mobile archive wagon or yurt, safeguarding the clans vital records and ancestral wisdom.;;;;;x
xda_scholars_study;Scholars Study;;;;;x
xda_scholars_study_desc;A dedicated study-tent for the clans wisest, allowing advanced research, debate, and planning for the future.;;;;;x
xda_israelite_scriptorium;Israelite Scriptorium;;;;;x
xda_israelite_scriptorium_desc;A legendary center for Israelite scholarship and preservation, renowned for producing masterworks and unifying the clan in faith and wisdom.;;;;;x
xda_library_hall;Library Hall;;;;;x
xda_library_hall_desc;A grand and semi-permanent mobile library, housing rare texts and serving as a beacon for scholars across the steppe.;;;;;x
