#Code;English;French;German;Spanish;Russian;x
xmi_wayfarers_hut;Wayfarers Hut;;;;;x
xmi_wayfarers_hut_desc;A rudimentary shelter, little more than a hide tent with a communal fire, for passing travelers and the occasional lost soul.;;;;;x
xmi_pilgrims_shelter;Pilgrims Shelter;;;;;x
xmi_pilgrims_shelter_desc;A larger tented structure with mats and modest provisions, offering warmth and protection to Christian pilgrims journeying across the wild steppe.;;;;;x
xmi_rest_chamber;Rest Chamber;;;;;x
xmi_rest_chamber_desc;A wooden or felt-walled communal chamber, with small cots and a guarded entry, allowing pilgrims a more secure and restful stay.;;;;;x
xmi_guarded_pavilion;Guarded Pavilion;;;;;x
xmi_guarded_pavilion_desc;A robust tented complex with a wooden palisade and stationed guards, providing protection and organization for itinerant Christians.;;;;;x
xmi_hospitality_room;Hospitality Room;;;;;x
xmi_hospitality_room_desc;A permanent wooden structure with proper bedding, communal kitchens, and a prayer alcove, ensuring comfort, safety, and spiritual solace.;;;;;x
xmi_guesthouse;Guesthouse;;;;;x
xmi_guesthouse_desc;A large, multi-roomed guesthouse with private quarters for dignitaries, storerooms, and an attached chapel, attracting pilgrims from afar.;;;;;x
xmi_sanctuary_hall;Sanctuary Hall;;;;;x
xmi_sanctuary_hall_desc;A well-defended hall with stone foundations, separate wings for the sick and honored, and a consecrated sanctuary for worship and reflection.;;;;;x
xmi_refuge_pavilion;Refuge Pavilion;;;;;x
xmi_refuge_pavilion_desc;An ornate but sturdy compound, with stone and timber, providing refuge to large numbers of pilgrims and clanfolk, with stores for food and water.;;;;;x
xmi_grand_pilgrims_hostel;Grand Pilgrims Hostel;;;;;x
xmi_grand_pilgrims_hostel_desc;A sprawling complex of halls, chapels, and barracks, replete with gardens, libraries, and sacred relics. The center for Christian unity and rest upon the steppes.;;;;;x
xmi_christian_pilgrim_hostel;Christian Pilgrim Hostel;;;;;x
xmi_christian_pilgrim_hostel_desc;A legendary center of faith, hospitality, and pilgrimage, known throughout Christendom for its sanctuary, its wonders, and its protection for all who journey in the Lords name.;;;;;x
