#Code;English;French;German;Spanish;Russian;x
xqs_celtic_ringfort_brush_fence;Brush Fence;;;;;x
xqs_celtic_ringfort_brush_fence_desc;A simple, quickly-woven brush fence marks the first boundary of the settlement, offering minimal deterrence to intruders but helping define the clans territory.;;;;;x
xqs_celtic_ringfort_earthen_bank;Earthen Bank;;;;;x
xqs_celtic_ringfort_earthen_bank_desc;A low embankment of piled earth and sod, reinforcing the outer boundary and providing a modicum of defense for the camp.;;;;;x
xqs_celtic_ringfort_wooden_palisade;Wooden Palisade;;;;;x
xqs_celtic_ringfort_wooden_palisade_desc;Stout timber stakes form a palisade, greatly increasing the defensive value of the ringfort and deterring would-be raiders.;;;;;x
xqs_celtic_ringfort_stone_guard_hut;Stone Guard Hut;;;;;x
xqs_celtic_ringfort_stone_guard_hut_desc;A fortified stone hut is erected near the entrance, serving as a watch post and a symbol of increasing permanence.;;;;;x
xqs_celtic_ringfort_inner_ditch;Inner Ditch;;;;;x
xqs_celtic_ringfort_inner_ditch_desc;A deep and broad ditch dug on the inner side of the palisade, hindering attackers and improving the forts resilience.;;;;;x
xqs_celtic_ringfort_outer_rampart;Outer Rampart;;;;;x
xqs_celtic_ringfort_outer_rampart_desc;A second, higher rampart of earth and stone, encircling the original defenses and greatly enhancing the strongholds security.;;;;;x
xqs_celtic_ringfort_gatehouse_pavilion;Gatehouse Pavilion;;;;;x
xqs_celtic_ringfort_gatehouse_pavilion_desc;A timber and stone gatehouse, manned at all hours and offering a defensible point of entry and exit for the fort.;;;;;x
xqs_celtic_ringfort_defended_roundhouse;Defended Roundhouse;;;;;x
xqs_celtic_ringfort_defended_roundhouse_desc;A large, centrally-located roundhouse with thick wattle-and-daub walls, serving as both a command center and a last redoubt for the clans elite.;;;;;x
xqs_celtic_ringfort_chiefs_ring;Chiefs Ring;;;;;x
xqs_celtic_ringfort_chiefs_ring_desc;A sacred inner ring reserved for the chieftains family and council, adorned with ritual stones and guarded by loyal retainers. The heart of the clans unity and strength.;;;;;x
xqs_celtic_ringfort_high_ringfort;High Ringfort;;;;;x
xqs_celtic_ringfort_high_ringfort_desc;An imposing, multi-ringed stronghold with massive ramparts, stone towers, and sacred enclosures. The ultimate symbol of clan might and security, drawing kin and followers from afar.;;;;;x
