#Code;English;French;German;Spanish;Russian;x
yby_steppe_brush_fence;Brush Fence;;;;;x
yby_steppe_brush_fence_desc;A simple barrier of thorny brush and crude stakes, hastily erected to mark camp boundaries and slow the approach of raiders.;;;;;x
yby_steppe_reed_palisade;Reed Palisade;;;;;x
yby_steppe_reed_palisade_desc;A lightweight palisade of bundled reeds and woven matting, offering minimal protection but a clear sign of settlement organization.;;;;;x
yby_steppe_earthwork_rampart;Earthwork Rampart;;;;;x
yby_steppe_earthwork_rampart_desc;Raised mounds of earth reinforced with turf and timber, forming a defensive ring and a symbol of growing permanence.;;;;;x
yby_steppe_timber_wall;Timber Wall;;;;;x
yby_steppe_timber_wall_desc;Heavy timber walls bound with rope and iron spikes, providing solid defense and a clear message of territorial control.;;;;;x
yby_steppe_watchtower_gate;Watchtower Gate;;;;;x
yby_steppe_watchtower_gate_desc;A fortified gate flanked by wooden watchtowers, allowing sentries to keep a vigilant eye on the horizon for enemy approach.;;;;;x
yby_steppe_double_palisade;Double Palisade;;;;;x
yby_steppe_double_palisade_desc;Twin timber palisades with a ditch in between, greatly strengthening the defense and slowing would-be attackers.;;;;;x
yby_steppe_moated_park;Moated Park;;;;;x
yby_steppe_moated_park_desc;A broad ditch filled with water and marsh vegetation encircles the camp, deterring attackers and symbolizing prosperity.;;;;;x
yby_steppe_defended_outwork;Defended Outwork;;;;;x
yby_steppe_defended_outwork_desc;Advanced outer defenses including obstacles, traps, and watch posts, making assaults on the camp far more costly.;;;;;x
yby_steppe_fortress_enclosure;Fortress Enclosure;;;;;x
yby_steppe_fortress_enclosure_desc;A formidable complex of interlinked palisades, earthworks, and towers, forming a near-impregnable seat of steppe power.;;;;;x
yby_steppe_grand_steppe_redoubt;Grand Steppe Redoubt;;;;;x
yby_steppe_grand_steppe_redoubt_desc;The ultimate nomadic stronghold: vast ramparts, multiple defensive rings, and towering wooden bastions, inspiring awe and unity among all clans.;;;;;x
