#Code;English;French;German;Spanish;Russian;x
yqd_wooden_bow_stand;Wooden Bow Stand;;;;;x
yqd_wooden_bow_stand_desc;A makeshift rack of wood for drying staves and storing bows, assembled in the open steppe to provide the bare minimum for archery practice and repairs.;;;;;x
yqd_bow_carver_hut;Bow Carver Hut;;;;;x
yqd_bow_carver_hut_desc;A simple hide-and-wood shelter where an artisan shapes bows and repairs damaged weapons for the clans warriors.;;;;;x
yqd_arrowmakers_tent;Arrowmakers Tent;;;;;x
yqd_arrowmakers_tent_desc;A large felt tent where skilled fletchers craft arrows in bulk, improving the supply and quality of missile weaponry for the horde.;;;;;x
yqd_composite_bow_pavilion;Composite Bow Pavilion;;;;;x
yqd_composite_bow_pavilion_desc;A semi-permanent gathering of crafters and apprentices, specializing in the lamination and assembly of advanced composite bows for Magyar warriors.;;;;;x
yqd_fletchers_room;Fletchers Room;;;;;x
yqd_fletchers_room_desc;A reinforced wooden structure, equipped for fine arrow-making and bowstring preparation, producing deadly ammunition and boosting clan unity.;;;;;x
yqd_fine_bow_hall;Fine Bow Hall;;;;;x
yqd_fine_bow_hall_desc;A prominent wooden hall adorned with the clans banners, where only the finest bows are crafted and stored for elite warriors, inspiring all nearby.;;;;;x
yqd_bowyers_chamber;Bowyers Chamber;;;;;x
yqd_bowyers_chamber_desc;A fortified chamber where master bowyers secretly teach advanced techniques, drastically improving bow quality and manpower efficiency.;;;;;x
yqd_guild_pavilion;Guild Pavilion;;;;;x
yqd_guild_pavilion_desc;A sprawling pavilion that serves as the headquarters of the bowyers guild, attracting renowned craftsmen and fostering a culture of martial innovation.;;;;;x
yqd_champions_armory;Champions Armory;;;;;x
yqd_champions_armory_desc;A legendary armory where only the greatest champions are equipped with masterwork bows and gear, dramatically increasing the hordes ranged superiority.;;;;;x
yqd_magyar_bowyer_guild;Magyar Bowyer Guild;;;;;x
yqd_magyar_bowyer_guild_desc;The proud and ancient guild of Magyar bowyers, a permanent institution famed for its legendary craftsmen and its power to shape the very destiny of the horde.;;;;;x
