#Code;English;French;German;Spanish;Russian;x
yux_cool_cellar_hut_1;Cool Cellar Hut;;;;;x
yux_cool_cellar_hut_1_desc;A humble, sunken hut used to store perishables safely in the desert heat.;;;;;x
yux_sandbreak_pavilion_1;Sandbreak Pavilion;;;;;x
yux_sandbreak_pavilion_1_desc;A basic windbreak made of woven mats, providing essential shelter from the ever-present desert sand.;;;;;x
yux_water_skin_rack_1;Water Skin Rack;;;;;x
yux_water_skin_rack_1_desc;A simple rack for hanging and drying waterskins, ensuring a basic supply for the first settlers.;;;;;x
yux_oasis_shelter_1;Oasis Shelter;;;;;x
yux_oasis_shelter_1_desc;Makeshift lean-tos and windbreaks, providing basic protection from sandstorms and desert nights.;;;;;x
yux_camel_tether_post_1;Camel Tether Post;;;;;x
yux_camel_tether_post_1_desc;A rough post for tethering camels, marking the beginnings of horde mobility and organization.;;;;;x
yux_palm_shade_tent_1;Palm Shade Tent;;;;;x
yux_palm_shade_tent_1_desc;Simple tents woven from palm leaves, providing minimal shade and comfort for the first arrivals at the oasis.;;;;;x
yux_desert_market_patch_1;Desert Market Patch;;;;;x
yux_desert_market_patch_1_desc;A few rugs and stalls for bartering goods among the first oasis dwellers.;;;;;x
yux_date_grove_1;Date Grove;;;;;x
yux_date_grove_1_desc;A handful of wild date palms, offering fruit and shade to the earliest settlers.;;;;;x
yux_cool_cellar_hut_2;Deep Cellar Storage;;;;;x
yux_cool_cellar_hut_2_desc;A deeper, stone-lined storage hut, keeping grains and food safe from spoilage.;;;;;x
yux_desert_well_1;Desert Well;;;;;x
yux_desert_well_1_desc;A hand-dug, shallow well, barely sustaining the small camp with its meager but life-saving water.;;;;;x
yux_water_skin_rack_2;Large Water Rack;;;;;x
yux_water_skin_rack_2_desc;Expanded racks and shaded storage for more waterskins, making long journeys possible for more clanspeople.;;;;;x
yux_sandbreak_pavilion_2;Cloth Sandbreak Pavilion;;;;;x
yux_sandbreak_pavilion_2_desc;A reinforced shelter using heavy cloth and reeds, keeping morale high during harsh weather.;;;;;x
yux_oasis_stronghold_1;Oasis Stronghold;;;;;x
yux_oasis_stronghold_1_desc;A modest, earthen barricade, providing a sense of security to the first oasis dwellers.;;;;;x
yux_oasis_shelter_2;Canvas Shelters;;;;;x
yux_oasis_shelter_2_desc;Sturdier canvas shelters, offering greater comfort and safety to the growing clan.;;;;;x
yux_camel_tether_post_2;Camel Corral;;;;;x
yux_camel_tether_post_2_desc;A simple corral and feeding area, enabling a larger and healthier herd for the horde.;;;;;x
yux_palm_shade_tent_2;Palm Shade Pavilion;;;;;x
yux_palm_shade_tent_2_desc;Improved tents with multiple layers of palm thatch, providing greater respite from the desert sun for growing families.;;;;;x
yux_desert_market_patch_2;Oasis Trading Stalls;;;;;x
yux_desert_market_patch_2_desc;A collection of trading stalls, drawing traders from nearby settlements and nomad bands.;;;;;x
yux_date_grove_2;Cultivated Date Orchard;;;;;x
yux_date_grove_2_desc;An expanded and cared-for orchard, providing reliable food and small trade goods.;;;;;x
yux_desert_well_2;Brick-Lined Well;;;;;x
yux_desert_well_2_desc;A reinforced and deeper well, providing more reliable water for the growing nomad population.;;;;;x
yux_cool_cellar_hut_3;Cellar Granary;;;;;x
yux_cool_cellar_hut_3_desc;A communal underground granary with guarded access, preventing famine and loss.;;;;;x
yux_water_skin_rack_3;Waterskin Depot;;;;;x
yux_water_skin_rack_3_desc;A dedicated depot for storing and repairing waterskins, supporting large expeditions and trade caravans.;;;;;x
yux_oasis_stronghold_2;Palisade Stronghold;;;;;x
yux_oasis_stronghold_2_desc;A palisade of timber and thornbush, encircling the oasis and providing greater defense in times of need.;;;;;x
yux_oasis_shelter_3;Windproof Dwellings;;;;;x
yux_oasis_shelter_3_desc;Semi-permanent dwellings with windbreak walls, forming a secure camp core.;;;;;x
yux_sandbreak_pavilion_3;Defended Sandbreak Pavilion;;;;;x
yux_sandbreak_pavilion_3_desc;A large, centrally placed pavilion offering both shelter and a command post for leaders.;;;;;x
yux_palm_shade_tent_3;Palm Lodge Encampment;;;;;x
yux_palm_shade_tent_3_desc;A permanent cluster of multi-family palm lodges, forming the heart of the camp and promoting unity among the clans.;;;;;x
yux_desert_well_3;Covered Oasis Well;;;;;x
yux_desert_well_3_desc;A well with a sturdy cover and rudimentary filtration, ensuring clean water for people and beasts alike.;;;;;x
yux_camel_tether_post_3;Horde Camel Pens;;;;;x
yux_camel_tether_post_3_desc;Enclosed pens with shade and water, supporting a large number of riding and pack camels for war and trade.;;;;;x
yux_desert_market_patch_3;Desert Caravan Market;;;;;x
yux_desert_market_patch_3_desc;A thriving market, hosting regular caravans, fairs, and fostering trade routes.;;;;;x
yux_cool_cellar_hut_4;Subterranean Storehouse;;;;;x
yux_cool_cellar_hut_4_desc;An expansive, multi-chambered storehouse, ensuring food security and wealth for the largest clans.;;;;;x
yux_date_grove_3;Oasis Date Plantation;;;;;x
yux_date_grove_3_desc;A large plantation of date palms, supplying food, trade, and attracting more population.;;;;;x
yux_water_skin_rack_4;Oasis Water Reserve;;;;;x
yux_water_skin_rack_4_desc;A vast, shaded reserve for vast numbers of waterskins, supporting great migrations and horde movement across the desert.;;;;;x
yux_palm_shade_tent_4;Oasis Grand Pavilion;;;;;x
yux_palm_shade_tent_4_desc;Spacious, semi-permanent pavilions with reinforced canopies, supporting large gatherings and enhancing the camps prestige.;;;;;x
yux_sandbreak_pavilion_4;Grand Sandbreak Hall;;;;;x
yux_sandbreak_pavilion_4_desc;A grand, fortified hall that forms the center of the camps defenses and command.;;;;;x
yux_oasis_shelter_4;Oasis Barricade Quarter;;;;;x
yux_oasis_shelter_4_desc;Large, enclosed living quarters with defensive barricades, safeguarding the clans heart.;;;;;x
yux_oasis_stronghold_3;Stone-Bound Stronghold;;;;;x
yux_oasis_stronghold_3_desc;A stone-reinforced stronghold with watchtowers, forming a true center of defense for the oasis.;;;;;x
yux_desert_well_4;Oasis Waterworks;;;;;x
yux_desert_well_4_desc;A deep, stone-lined well with troughs and irrigation channels, supporting a thriving and populous camp.;;;;;x
yux_camel_tether_post_4;Oasis Camel Enclosure;;;;;x
yux_camel_tether_post_4_desc;A fortified enclosure with feeding stations, allowing for the maintenance of a massive horde of camels for nomad warriors.;;;;;x
yux_desert_market_patch_4;Great Oasis Bazaar;;;;;x
yux_desert_market_patch_4_desc;A bustling, fortified bazaar with permanent structures, establishing the oasis as a vital trade hub.;;;;;x
yux_date_grove_4;Royal Date Grove;;;;;x
yux_date_grove_4_desc;A sprawling, irrigated date grove tended by many hands, fueling both prosperity and prestige.;;;;;x
yux_oasis_stronghold_4;Citadel of the Oasis;;;;;x
yux_oasis_stronghold_4_desc;A formidable citadel of stone and timber, the pride of the desert and a beacon of unity for the clans.;;;;;x
