#Code;English;French;German;Spanish;Russian;x
ywv_spindle_patch;Spindle Patch;;;;;x
ywv_spindle_patch_desc;A simple area strewn with stones and woven mats, where the first Dravidian weavers gather to work with raw fibers. A humble, mobile workspace for clan crafters.;;;;;x
ywv_weavers_tent;Weavers Tent;;;;;x
ywv_weavers_tent_desc;A large, sturdy tent for skilled weavers, offering shelter from the elements and space for communal spinning and weaving. Slightly improves clan unity and production.;;;;;x
ywv_loom_hut;Loom Hut;;;;;x
ywv_loom_hut_desc;A sturdier, semi-permanent hut constructed of wood and mud, housing upright looms. Increases weaving output and supports a larger nomad population.;;;;;x
ywv_patterned_room;Patterned Room;;;;;x
ywv_patterned_room_desc;A decorated, well-ventilated room for artisans, where patterns and advanced techniques are developed. Fosters innovation and population growth.;;;;;x
ywv_dye_pavilion;Dye Pavilion;;;;;x
ywv_dye_pavilion_desc;A specialized pavilion for preparing vibrant natural dyes and treating cloth, requiring skilled workers. The presence of such a facility draws more artisans and boosts prosperity.;;;;;x
ywv_textile_chamber;Textile Chamber;;;;;x
ywv_textile_chamber_desc;A large, fortified structure with many looms and workspaces for complex textiles, drawing master weavers and apprentices from distant clans.;;;;;x
ywv_fine_cloth_hall;Fine Cloth Hall;;;;;x
ywv_fine_cloth_hall_desc;A prestigious hall where the finest Dravidian cloth is crafted and displayed. The halls renown attracts merchants and increases trade and unity.;;;;;x
ywv_weavers_guildhall;Weavers Guildhall;;;;;x
ywv_weavers_guildhall_desc;A grand guildhall for the most skilled weavers and textile masters, guiding apprentices, setting standards, and strengthening clan bonds and prosperity.;;;;;x
ywv_master_weavers_room;Master Weavers Room;;;;;x
ywv_master_weavers_room_desc;A lavish, private chamber for the most renowned master weavers, where rare techniques are preserved and the next generation is mentored. Becomes a symbol of Dravidian innovation.;;;;;x
ywv_dravidian_weaving_guild;Dravidian Weaving Guild;;;;;x
ywv_dravidian_weaving_guild_desc;The legendary heart of Dravidian textile mastery, gathering the greatest weavers, merchants, and innovators under one roof. Immense prosperity, unity, and prestige flow from this unparalleled institution.;;;;;x
