#Code;English;French;German;Spanish;Russian;x
yxv_sacred_tree_nomad_wa;Sacred Tree;;;;;x
yxv_sacred_tree_nomad_wa_desc;A revered tree, watched over by the clan, marking the spiritual center of the camp and blessing the people with unity and growth.;;;;;x
yxv_stone_circle_nomad_wa;Stone Circle;;;;;x
yxv_stone_circle_nomad_wa_desc;A gathering of ancient stones, arranged by the elders for ritual observances, reinforcing clan bonds and attracting new followers.;;;;;x
yxv_ancestor_shrine_nomad_wa;Ancestor Shrine;;;;;x
yxv_ancestor_shrine_nomad_wa_desc;Small wooden altars and offerings to the honored dead, providing guidance, spiritual unity, and a sense of belonging.;;;;;x
yxv_spirit_hut_nomad_wa;Spirit Hut;;;;;x
yxv_spirit_hut_nomad_wa_desc;A simple hut for the tribes shaman, where rituals of protection and guidance are held, strengthening unity and devotion.;;;;;x
yxv_ritual_pavilion_nomad_wa;Ritual Pavilion;;;;;x
yxv_ritual_pavilion_nomad_wa_desc;A large, ornate tent of woven cloth where major clan ceremonies and initiations take place, drawing the people together in faith and tradition.;;;;;x
yxv_priests_room_nomad_wa;Priests Room;;;;;x
yxv_priests_room_nomad_wa_desc;A permanent wooden chamber for the high priest, serving as a seat of spiritual authority, fostering religious harmony and unity.;;;;;x
yxv_sanctified_grove_nomad_wa;Sanctified Grove;;;;;x
yxv_sanctified_grove_nomad_wa_desc;A fenced forest clearing, watched by chosen guardians, where sacred rites are held and the spirits of the land are honored in great gatherings.;;;;;x
yxv_diviners_chamber_nomad_wa;Diviners Chamber;;;;;x
yxv_diviners_chamber_nomad_wa_desc;A private, fortified enclosure for the most trusted diviners, who interpret omens and guide the clans destiny, binding all to the old ways.;;;;;x
yxv_blessed_sanctuary_nomad_wa;Blessed Sanctuary;;;;;x
yxv_blessed_sanctuary_nomad_wa_desc;A grand, permanent structure of carved stone and sacred wood, the heart of the clans spiritual life, where unity, growth, and piety flourish.;;;;;x
yxv_west_african_ritual_grove_nomad_wa;West African Ritual Grove;;;;;x
yxv_west_african_ritual_grove_nomad_wa_desc;The legendary, sacred grove at the heart of the clans land, the holiest of places where all rituals converge, uniting the people and granting unmatched spiritual authority.;;;;;x
