#Code;English;French;German;Spanish;Russian;x
zck_celtic_standing_stone;Standing Stone;;;;;x
zck_celtic_standing_stone_desc;A solitary monolith raised by the clan as a first marker of settlement, serving as a gathering point and symbol of unity.;;;;;x
zck_celtic_mossy_boulder;Mossy Boulder;;;;;x
zck_celtic_mossy_boulder_desc;A large boulder, cleared and marked by the clan, used for tribal meetings and simple rituals, strengthening communal ties.;;;;;x
zck_celtic_carved_slab;Carved Slab;;;;;x
zck_celtic_carved_slab_desc;A large flat stone, carved with tribal symbols and clan history, used for storytelling and instructing the young.;;;;;x
zck_celtic_circle_of_stones;Circle of Stones;;;;;x
zck_celtic_circle_of_stones_desc;A complete stone circle, providing a sacred space for major clan gatherings and seasonal rites, embodying tribal unity.;;;;;x
zck_celtic_altar_stone;Altar Stone;;;;;x
zck_celtic_altar_stone_desc;A central altar stone within the circle, used by druids for sacred rituals, greatly enhancing clan unity and religious authority.;;;;;x
zck_celtic_marked_menhir;Marked Menhir;;;;;x
zck_celtic_marked_menhir_desc;A towering menhir, inscribed with clan victories and symbols, inspiring loyalty and pride among all members.;;;;;x
zck_celtic_sanctuary_circle;Sanctuary Circle;;;;;x
zck_celtic_sanctuary_circle_desc;An expanded sacred enclosure, reserved for rituals, feasts, and dispute resolution; the heart of clan cohesion.;;;;;x
zck_celtic_priests_stone;Priests Stone;;;;;x
zck_celtic_priests_stone_desc;A grand ceremonial stone reserved for the clans high priest or druid, radiating spiritual authority and uniting the faithful.;;;;;x
zck_celtic_high_druidic_ring;High Druidic Ring;;;;;x
zck_celtic_high_druidic_ring_desc;A masterfully constructed stone ring, where the clans greatest leaders and druids convene, strengthening unity and tradition.;;;;;x
zck_celtic_stone_sanctuary;Celtic Stone Sanctuary;;;;;x
zck_celtic_stone_sanctuary_desc;A legendary sanctuary of stone—center of all clan gatherings, druidic rites, and seasonal festivals—ensuring the immortality and unity of the tribe.;;;;;x
