#Code;English;French;German;Spanish;Russian;x
zgi_warrior_patch_1;Warrior Patch;;;;;x
zgi_warrior_patch_1_desc;A rough patch of trampled earth where Magyar warriors gather for sparring and drills. The most basic of martial grounds.;;;;;x
zgi_training_circle_2;Training Circle;;;;;x
zgi_training_circle_2_desc;A ring of wooden posts and marked ground, where warriors rotate through drills. Provides more organized and regular training.;;;;;x
zgi_mounted_drill_yard_3;Mounted Drill Yard;;;;;x
zgi_mounted_drill_yard_3_desc;A broad field set aside for horsemen to practice mounted maneuvers and charges, vital for a nomadic warband.;;;;;x
zgi_weapons_pavilion_4;Weapons Pavilion;;;;;x
zgi_weapons_pavilion_4_desc;A large, reinforced tent for storing and maintaining arms and armor, guarded and organized for rapid deployment.;;;;;x
zgi_command_stand_5;Command Stand;;;;;x
zgi_command_stand_5_desc;A raised wooden platform for commanders to survey the field, issue orders, and coordinate the horde.;;;;;x
zgi_battlefield_tent_6;Battlefield Tent;;;;;x
zgi_battlefield_tent_6_desc;A large, decorated tent that serves as the strategic heart of the encampment, with maps, messengers, and a guarded council.;;;;;x
zgi_muster_hall_7;Muster Hall;;;;;x
zgi_muster_hall_7_desc;A sturdy timber structure for organizing mass gatherings, oath-swearings, and the mustering of the entire horde.;;;;;x
zgi_elite_ground_8;Elite Ground;;;;;x
zgi_elite_ground_8_desc;A select training ground reserved for the hordes finest warriors and bodyguards, with advanced facilities and smiths.;;;;;x
zgi_champions_pavilion_9;Champions Pavilion;;;;;x
zgi_champions_pavilion_9_desc;A lavish, fortified tent for the hordes greatest champions, with armorers, banners, and feasting tables to inspire all.;;;;;x
zgi_magyar_war_camp_10;Magyar War Camp;;;;;x
zgi_magyar_war_camp_10_desc;The pinnacle of Magyar martial organization: a sprawling, fortified encampment with permanent structures for command, training, and celebration. The heart of a conquering horde.;;;;;x
