#Code;English;French;German;Spanish;Russian;x
zgz_latin_forum_open_stall;Open Stall;;;;;x
zgz_latin_forum_open_stall_desc;A hastily-erected stall or cart, offering the barest shade and space to trade wares at a nomadic crossroads.;;;;;x
zgz_latin_forum_barter_table;Barter Table;;;;;x
zgz_latin_forum_barter_table_desc;A simple wooden table or blanket on the ground where locals and travelers gather to exchange goods and gossip.;;;;;x
zgz_latin_forum_merchants_booth;Merchants Booth;;;;;x
zgz_latin_forum_merchants_booth_desc;A sturdy wooden booth adorned with colorful cloths and primitive shelving, allowing merchants to display a growing variety of wares.;;;;;x
zgz_latin_forum_covered_market;Covered Market;;;;;x
zgz_latin_forum_covered_market_desc;A cluster of stalls and booths beneath a large canvas or thatch awning, providing protection from the elements and attracting more distant traders.;;;;;x
zgz_latin_forum_trading_pavilion;Trading Pavilion;;;;;x
zgz_latin_forum_trading_pavilion_desc;A semi-permanent wooden and canvas structure, with multiple stalls, animal enclosures, and space for caravan storage, hosting bustling trade fairs.;;;;;x
zgz_latin_forum_forum_stand;Forum Stand;;;;;x
zgz_latin_forum_forum_stand_desc;A raised wooden dais at the heart of the market, used for public announcements, fair arbitration, and the most lucrative trade deals.;;;;;x
zgz_latin_forum_arcaded_market;Arcaded Market;;;;;x
zgz_latin_forum_arcaded_market_desc;A permanent market structure featuring stone or timber arcades, offering weatherproofed shops and a central avenue for trade caravans to gather and store goods safely.;;;;;x
zgz_latin_forum_forum_hall;Forum Hall;;;;;x
zgz_latin_forum_forum_hall_desc;A great timber hall adjacent to the marketplace, where major merchants gather to negotiate, feast, and resolve disputes under the watchful eye of clan elders.;;;;;x
zgz_latin_forum_merchant_guildhouse;Merchant Guildhouse;;;;;x
zgz_latin_forum_merchant_guildhouse_desc;A fortified headquarters for the most powerful merchant families, combining storerooms, council chambers, and guest quarters for foreign traders and dignitaries.;;;;;x
zgz_latin_forum_grand_exchange;Forum Grand Exchange;;;;;x
zgz_latin_forum_grand_exchange_desc;A sprawling, multi-level stone complex modeled after the great markets of the Mediterranean, hosting hundreds of traders, auction houses, and caravanserai, transforming the nomad camp into a true crossroads of the world.;;;;;x
