#Code;English;French;German;Spanish;Russian;x
zxs_nomad_stone_platform;Stone Platform;;;;;x
zxs_nomad_stone_platform_desc;A rough, raised stone platform, hastily assembled by the clan as a site for basic rituals and gatherings, marking the first step in sacred construction.;;;;;x
zxs_nomad_walled_stand;Walled Stand;;;;;x
zxs_nomad_walled_stand_desc;A low-walled enclosure built around the stone platform, providing privacy and sanctity for clan rites and shielding from the harsh steppe winds.;;;;;x
zxs_nomad_circular_pavilion;Circular Pavilion;;;;;x
zxs_nomad_circular_pavilion_desc;A circular wooden pavilion, roofed and adorned with sacred symbols, serving as a formal gathering point for religious leaders and clan elders.;;;;;x
zxs_nomad_raised_chamber;Raised Chamber;;;;;x
zxs_nomad_raised_chamber_desc;A sturdy, elevated chamber built of stone and timber, reserved for sacred relics and the most important of clan ceremonies.;;;;;x
zxs_nomad_priests_room;Priests Room;;;;;x
zxs_nomad_priests_room_desc;A private chamber richly decorated for the use of the clans head priest, allowing for meditation, study, and the preparation of sacred rites.;;;;;x
zxs_nomad_blessed_hall;Blessed Hall;;;;;x
zxs_nomad_blessed_hall_desc;A grand hall where the clan gathers for the most significant festivals and rituals, its walls adorned with Zoroastrian iconography and banners.;;;;;x
zxs_nomad_sanctified_room;Sanctified Room;;;;;x
zxs_nomad_sanctified_room_desc;A meticulously cleansed and maintained space, set apart for the most sacred fires and purification rites, attended only by the most devout.;;;;;x
zxs_nomad_holy_tower;Holy Tower;;;;;x
zxs_nomad_holy_tower_desc;A tall stone tower rising above the camp, visible for miles, serving both as a beacon of faith and as a refuge for sacred texts and relics.;;;;;x
zxs_nomad_sanctuary_pavilion;Sanctuary Pavilion;;;;;x
zxs_nomad_sanctuary_pavilion_desc;A fortified pavilion dedicated solely to sanctuary and prayer, reserved for the highest clergy and most revered guests.;;;;;x
zxs_nomad_zoroastrian_tower_of_silence;Zoroastrian Tower of Silence;;;;;x
zxs_nomad_zoroastrian_tower_of_silence_desc;A monumental stone edifice, where the dead are laid to rest according to ancient Zoroastrian custom. Its presence is a sign of the clans enduring faith and unity.;;;;;x
