#Code;English;French;German;Spanish;Russian;x
zyk_earthen_store_pit;Earthen Store Pit;;;;;x
zyk_earthen_store_pit_desc;A simple grain pit dug into the earth, lined with straw and clay to preserve harvested grain for short periods. Vulnerable to pests and flooding, but quick to build for newly arrived nomads.;;;;;x
zyk_woven_basket_depot;Woven Basket Depot;;;;;x
zyk_woven_basket_depot_desc;A cluster of large, hand-woven baskets sheltered under hides, keeping small stores of grain dry and somewhat safe from animals. Favored by mobile clans for its portability and speed of setup.;;;;;x
zyk_thatched_silo;Thatched Silo;;;;;x
zyk_thatched_silo_desc;A basic, upright grain silo constructed from woven reeds and thatch, raised above ground level to reduce spoilage and pest access. A sign of growing prosperity among settled nomads.;;;;;x
zyk_timbered_granary;Timbered Granary;;;;;x
zyk_timbered_granary_desc;A sturdier wooden-frame building with slatted walls to allow ventilation, significantly reducing grain spoilage and increasing storage capacity for larger communities.;;;;;x
zyk_guarded_grain_hut;Guarded Grain Hut;;;;;x
zyk_guarded_grain_hut_desc;A grain storehouse with secure doors and an assigned watch, deterring theft and loss during times of famine or conflict. Often located at the center of the encampment for easy defense.;;;;;x
zyk_raised_storage_loft;Raised Storage Loft;;;;;x
zyk_raised_storage_loft_desc;A sophisticated granary set on tall stilts, with wooden walkways and reinforced flooring. Designed to thwart pests and flooding, it symbolizes a more permanent and organized nomadic settlement.;;;;;x
zyk_rodent_proof_silo;Rodent-Proof Silo;;;;;x
zyk_rodent_proof_silo_desc;A granary built with stone foundations and rodent guards, keeping grain stores safe from vermin and spoilage. A marvel of practical nomadic engineering.;;;;;x
zyk_expanded_grain_hall;Expanded Grain Hall;;;;;x
zyk_expanded_grain_hall_desc;A large, multi-chambered grain hall with multiple silos, allowing for the storage and sorting of surplus harvests. The heart of food security for a powerful nomad horde.;;;;;x
zyk_protected_food_vault;Protected Food Vault;;;;;x
zyk_protected_food_vault_desc;A fortified food vault with thick wooden doors, iron fittings, and communal guards. Grain stores are kept under lock and key, with strict rationing during siege or famine.;;;;;x
zyk_fortified_granary_tower;Fortified Granary Tower;;;;;x
zyk_fortified_granary_tower_desc;A stone and timber tower, combining the functions of a granary and defensive outpost. Guards watch over vast grain reserves, ensuring the horde never starves and can muster immense armies.;;;;;x
